Gene	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
TMEM26	0	0	0	0	0
FAM189B	302	319	333	19	26
ENSCSAG00000000182	0	0	0	0	0
ENSCSAG00000025755	0	0	0	0	0
ENSCSAG00000018669	157	165	214	12	17
ENSCSAG00000014521	434	507	576	50	51
ENSCSAG00000023005	0	0	0	0	0
COPZ1	1061	1098	1250	62	102
ENSCSAG00000021424	0	0	0	0	0
SNORD21	0	0	0	0	0
ENSCSAG00000004980	2	1	0	0	0
NRN1L	1	4	3	1	1
ENSCSAG00000021173	0	0	0	0	0
MIR1282	0	0	0	0	0
IMPAD1	2876	2986	3406	238	281
PCSK1	0	1	1	1	1
TRPC4AP	3441	3619	3851	273	332
NOX4	356	361	368	42	39
STX1B	1	0	0	0	0
SLC22A23	398	451	511	43	38
LRRIQ4	1	2	0	0	0
RASL11A	390	369	439	53	38
FOXE3	0	0	1	0	0
ENSCSAG00000009683	0	0	0	0	0
ENSCSAG00000017292	2584	3452	3114	425	438
ENSCSAG00000021629	0	0	0	0	0
ENSCSAG00000020196	0	0	0	0	0
PLA2G3	1	0	1	0	0
ENSCSAG00000025885	0	0	0	0	0
CCDC171	243	260	260	19	18
ENSCSAG00000012896	0	0	0	0	0
A4GNT	0	0	0	0	0
ENSCSAG00000000951	231	222	310	18	12
LYVE1	1	0	0	0	0
DPH3	2461	2534	2957	178	200
ENSCSAG00000023557	0	0	0	0	0
MRPL39	1111	1136	1335	82	104
TCEAL5	0	0	0	0	0
SHE	0	1	1	0	0
SC5D	223	237	270	11	19
TNFAIP8L3	8	10	15	2	0
SLC39A6	2996	3237	3373	207	218
MYO18B	10	8	8	1	0
SLC5A4	0	0	0	0	0
ENSCSAG00000010035	1817	2101	2256	216	238
IQCD	37	58	49	5	4
RIMBP2	3	5	3	1	1
PFDN2	613	640	785	55	54
SNORA47	0	0	0	0	0
ENSCSAG00000007882	1819	1775	2037	160	209
ENSCSAG00000025289	0	0	0	0	0
ENSCSAG00000026451	0	0	0	0	0
KIF21B	381	361	408	35	36
RAB24	635	673	717	83	94
ENSCSAG00000001841	0	0	0	0	0
ENSCSAG00000007406	3024	3188	3562	304	277
ENSCSAG00000015866	0	0	0	0	0
ENSCSAG00000025119	0	0	0	0	0
ISM1	45	37	29	6	7
ENSCSAG00000014798	24	33	28	0	7
GPR87	1	3	2	2	0
ENSCSAG00000005889	0	0	0	0	0
ENSCSAG00000018392	0	2	1	0	0
DIPK2B	0	0	0	0	0
TDRD15	0	0	0	0	0
ZNF438	503	456	553	54	53
XPO1	12290	12729	13340	1557	1834
ENSCSAG00000005494	463	552	529	33	62
AFDN	7965	9231	9590	962	1087
RBBP9	274	262	294	14	19
ABCF3	1721	1769	2040	225	279
ANKRD37	66	59	87	13	4
CPSF1	11845	12916	14266	1473	1626
MNX1	303	350	367	36	36
SNORD31	0	0	0	0	0
ENSCSAG00000027681	0	0	0	0	0
GBA2	1267	1339	1504	138	150
COPS4	1179	1290	1349	102	127
SPANXN4	0	0	0	0	0
ASZ1	0	0	0	0	0
LGI1	0	0	0	0	0
IDI1	714	716	790	57	57
LHX3	1	1	0	0	0
ENSCSAG00000027866	0	0	0	0	0
ENSCSAG00000003713	3108	3275	3776	294	369
ENSCSAG00000026581	0	0	0	0	0
MSX2	0	0	0	0	0
LSP1	20	24	29	2	1
CASQ2	43	69	81	4	3
COA7	1795	2069	2125	221	224
RPL19	31225	32801	37412	5326	5600
NECAB3	232	230	255	21	28
ENSCSAG00000008574	1399	1502	1565	147	135
TPBG	10616	11143	12328	894	1023
PRMT3	1193	1325	1371	101	139
OVCH1	0	0	0	0	0
RNF11	4111	4029	4629	350	388
TAC1	1	0	0	0	0
ENSCSAG00000026322	0	0	0	0	0
ENSCSAG00000021362	0	0	0	0	0
NXPE2	0	0	0	0	0
TMEM119	0	0	0	1	0
ENSCSAG00000006639	210	191	202	20	19
MIR133A2	0	0	0	0	0
DPF1	77	74	71	16	13
MEX3B	107	109	123	8	10
MANBA	1260	1343	1372	115	134
ENSCSAG00000013921	3	4	6	0	0
LACTBL1	0	0	0	0	0
ZNF501	0	1	1	0	0
ENSCSAG00000014784	0	0	0	0	0
SLC9A5	96	93	98	13	13
IL1RL1	6	7	2	0	0
FAM183A	3	4	4	0	1
ZBTB47	1131	1328	1398	108	137
ENSCSAG00000025563	0	0	0	0	0
NMNAT1	59	38	70	6	5
ENSCSAG00000022999	0	0	0	0	0
ATP6V1G1	4068	4061	4689	329	331
MIR186	0	0	0	0	0
PDS5B	2195	2359	2366	194	241
ITGB1	37977	41040	44846	2569	2942
ENSCSAG00000011715	0	0	0	0	0
TARBP1	865	872	877	73	107
ENSCSAG00000023001	0	0	0	0	0
ENSCSAG00000022439	0	0	0	0	0
ENSCSAG00000019747	0	0	0	0	0
RNU11-3P	0	0	0	0	0
KCNV2	0	1	0	1	0
TTYH3	20978	21876	25430	1723	1895
MFSD4B	1441	1704	1772	131	187
TNS3	12782	14925	15326	1626	1727
ENSCSAG00000003852	0	0	0	0	0
PPP1R32	16	23	22	3	2
SNTG1	1	0	0	1	0
ENSCSAG00000020156	0	0	0	0	0
LIPE	419	465	457	56	58
FNTA	794	823	898	68	75
ENOPH1	2026	2031	2192	211	231
F2RL1	2384	2502	2642	225	257
OASL	1	0	0	250	274
CDK16	3305	3617	3871	343	356
ENSCSAG00000023448	0	0	0	0	0
PROS1	1831	1746	2108	108	114
CNOT2	2023	2085	2338	171	178
KLK11	0	0	0	0	0
NDUFAF6	261	255	294	31	38
CRK	4662	4890	5478	449	515
ENSCSAG00000026405	0	0	0	0	0
ENSCSAG00000019507	0	0	0	0	0
CRABP1	66	94	87	4	1
ENSCSAG00000017502	0	2	0	0	1
GC	0	3	1	0	0
MIR431	0	0	0	0	0
RASSF2	451	425	535	30	39
LRRC24	2345	2470	2853	428	380
SHOX	0	0	0	0	0
ENSCSAG00000014302	748	817	844	73	90
GDPD3	24	26	40	2	5
RNF222	0	0	1	0	0
ENSCSAG00000025762	0	0	0	0	0
DSG4	0	0	0	0	0
MMADHC	1300	1380	1551	110	144
CORO1C	12416	13245	14843	1317	1488
LAMB1	25333	27570	28118	1794	1895
ENSCSAG00000010129	1	1	0	0	0
REEP4	1955	2025	2279	183	210
HSD17B1	62	71	98	13	11
SNORD90	0	0	0	0	0
ENSCSAG00000000170	2128	2086	2244	234	200
ANKRD26	1020	1146	1117	123	129
ENSCSAG00000020113	0	0	0	0	0
ENSCSAG00000011385	0	0	0	0	0
RIPPLY2	0	0	0	0	0
HDAC9	1	1	4	0	0
ENSCSAG00000018591	155	144	151	12	18
ENSCSAG00000018723	0	0	1	0	0
ENSCSAG00000020863	0	0	0	0	0
CTSZ	4291	4458	5099	380	474
ENSCSAG00000010683	4434	4521	4978	323	367
ENSCSAG00000018285	0	0	0	0	0
ENSCSAG00000017821	113	104	143	5	5
TP53I13	1231	1176	1368	126	154
ENSCSAG00000022463	0	0	0	0	0
FBXW12	0	0	0	0	0
ENSCSAG00000013745	2	2	2	1	0
ZNF497	6	3	11	0	0
ENSCSAG00000012821	0	0	0	0	0
TBC1D10C	16	23	22	1	4
ENSCSAG00000006683	1230	1433	1437	172	195
DLGAP5	2472	2615	2685	145	177
ARHGEF39	660	681	768	59	73
B9D2	443	404	499	32	36
SYCP2	33	36	29	4	3
PRRT2	6	13	14	1	5
SMYD5	2782	2863	3331	290	337
NEK11	68	74	74	13	13
ENSCSAG00000000513	186	200	220	18	24
STK32C	264	269	294	33	17
ENSCSAG00000023662	0	0	0	0	0
S100A13	2212	2410	2578	194	236
ENSCSAG00000023666	0	0	0	0	0
NDST3	0	0	0	0	0
RIBC2	0	0	0	0	0
APH1B	412	427	530	44	38
C19orf12	217	209	262	11	26
ENSCSAG00000025070	0	0	0	0	0
PSTPIP2	0	1	0	0	1
PER2	285	290	307	201	262
ENSCSAG00000022402	0	0	0	0	0
VKORC1	1170	1219	1373	81	86
KCNIP2	5	7	5	2	1
CDH11	0	0	0	0	0
ENSCSAG00000006745	363	436	462	29	31
ALG14	161	187	203	7	12
ANKH	3144	3601	3916	384	485
BDP1	1828	2003	2022	243	261
CA1	0	0	0	0	0
ALDH3A2	1778	1857	2045	121	129
ENSCSAG00000022572	0	0	0	0	0
RLN3	0	0	0	0	0
ENSCSAG00000000791	45	62	67	3	3
EPC2	1047	1160	1251	112	147
NRIP1	5722	6215	6365	694	763
NLRP1	1	7	4	0	0
MFSD8	178	238	244	26	25
PHF24	50	36	53	2	6
NFS1	1863	1878	2218	135	181
GPT	31	29	40	5	2
CEP85	769	864	948	93	107
ENSCSAG00000023962	0	0	0	0	0
ENSCSAG00000017947	14	14	17	5	1
MCFD2	10714	10963	11969	751	871
ENSCSAG00000025919	0	0	0	0	0
PRDM14	0	0	1	0	0
RHOB	6456	6793	7882	1124	1197
ENSCSAG00000013311	1	0	2	0	0
ENSCSAG00000026996	0	0	0	0	0
FYB2	32	30	38	4	6
ENSCSAG00000001493	0	0	0	0	0
ENSCSAG00000000054	0	0	0	0	0
ARHGEF6	283	281	356	15	14
PDE6A	1	2	2	0	0
STAP2	40	38	44	4	1
ARHGEF10	1695	1801	1967	227	217
DNAJC27	80	98	100	15	10
ENSCSAG00000022189	0	0	0	0	0
FBH1	1461	1651	1817	164	213
OR2H2	5	10	8	0	0
WDR49	0	1	1	0	0
DNAI1	7	7	20	0	0
LASP1	32795	35383	40495	3609	4084
ENSCSAG00000022885	0	0	0	0	0
NMT2	882	922	982	104	146
MPPE1	876	917	1026	71	71
EXD1	2	0	0	0	0
PTK6	11	10	15	0	0
LRP2BP	91	103	100	6	9
ENSCSAG00000018408	1	0	0	0	0
ENSCSAG00000027871	0	0	0	0	0
SNORD15	0	0	0	0	0
C3orf14	469	446	533	26	38
ZNF107	210	163	191	33	21
USP49	149	136	160	21	18
ENSCSAG00000010654	27	14	15	3	1
ENSCSAG00000010553	1535	1666	1755	177	200
PSMC6	1738	1785	2053	133	188
CCSER2	840	905	983	109	117
ENSCSAG00000004997	0	0	0	0	0
SLC26A6	1415	1601	1729	135	154
ENSCSAG00000016817	0	0	0	0	0
SLC16A3	11815	12274	14586	1070	1107
TFAP2B	0	0	0	0	0
PNMA6E	0	0	0	0	0
SESN2	2388	2545	2892	482	461
ENSCSAG00000022673	0	0	0	0	0
ENSCSAG00000025533	0	0	0	0	0
RNASE12	0	0	0	0	0
ENSCSAG00000023871	0	0	0	0	0
SLC6A5	0	0	0	0	0
ENSCSAG00000023541	0	0	0	0	0
ENSCSAG00000021588	0	0	0	0	0
ACTR6	708	681	797	46	29
TUBB2A	1464	1532	1853	238	226
PALM2AKAP2	2250	2584	2662	736	831
SPDYE4	0	0	0	0	0
ENSCSAG00000026560	0	0	0	0	0
GNG10	3801	3882	4253	221	224
ENSCSAG00000006992	0	0	0	0	0
TMPRSS15	3	4	3	0	1
ENSCSAG00000024103	0	0	0	0	0
MIR656	0	0	0	0	0
ENSCSAG00000023111	0	0	0	0	0
ESYT2	3229	3511	3680	297	322
SNORD33	0	0	0	0	0
ENSCSAG00000015434	0	4	3	0	1
ENSCSAG00000000024	0	0	0	0	0
ENSCSAG00000011001	0	0	0	0	0
COX2	67781	65912	78546	19282	22858
ZNF503	6132	6374	7551	962	1064
ENSCSAG00000002609	0	0	0	0	0
IL25	0	0	0	0	0
MIRLET7A3	0	0	0	0	0
KCNN1	452	431	575	108	112
DLG5	22472	25493	27824	3115	3168
FKTN	453	500	546	28	46
CNN3	7386	7174	7941	530	546
ST6GALNAC2	256	305	279	62	66
ENSCSAG00000010216	0	0	0	0	0
ANKRD1	218	251	294	37	70
DUSP12	393	413	463	36	45
ATP7B	727	818	863	69	72
ENSCSAG00000003954	0	0	0	0	0
ENSCSAG00000016975	0	1	0	0	0
TTLL11	63	95	89	17	24
CCDC43	474	480	567	49	48
ENSCSAG00000021892	0	0	0	0	0
ENSCSAG00000000163	1249	1367	1559	97	103
SNCA	1031	1041	1225	84	92
SGTA	2510	2533	2923	294	286
BOLL	4	2	6	1	0
EIF5	8846	9407	10591	888	1034
ENSCSAG00000026708	0	0	0	0	0
XKR5	162	168	191	15	15
SKAP1	0	0	0	0	0
ENSCSAG00000001955	127	129	121	9	17
H2BC17	2430	2626	2825	325	335
ASXL1	5103	5643	5913	972	1078
PTPN14	5515	6559	6358	1082	1198
RNF13	2144	2027	2301	169	167
PLA2G2E	0	0	0	0	0
GFPT2	117	160	151	14	20
NAP1L4	7355	7708	8551	644	773
UQCC1	1870	2045	2285	132	186
TSPAN33	788	761	880	69	76
MGAT5	1621	1684	1835	118	137
TUBGCP2	3793	3900	4306	346	420
ENSCSAG00000000708	658	658	753	48	53
NEU3	712	881	903	60	66
ENSCSAG00000024587	0	0	0	0	0
BSX	1	0	0	0	0
NOSTRIN	108	79	74	1	0
ENSCSAG00000023427	0	0	0	0	0
PGLYRP4	0	0	0	0	0
SNORA41B	0	0	0	0	0
INCA1	41	38	31	5	1
PPP4R3B	2785	2924	3085	235	254
INTS3	2180	2292	2405	218	218
ENSCSAG00000026934	0	0	0	0	0
ARL6IP5	8318	8086	8882	473	497
ENSCSAG00000016348	1828	1925	2146	151	165
YIPF3	2723	2708	3056	243	276
GTF2F2	1320	1477	1466	129	137
ENSCSAG00000026358	0	0	0	0	0
ENSCSAG00000001928	141	130	134	15	10
PDZRN3	14	13	20	0	0
GSX1	0	0	0	0	0
NSMCE2	661	718	811	61	69
TMEM30A	6352	6310	7004	373	464
WDR62	854	881	966	101	99
ST8SIA6	0	0	0	0	0
PCGF1	347	377	415	46	54
CPED1	3	2	2	3	0
ENSCSAG00000001007	2919	3026	3320	233	278
MIR569	0	0	0	0	0
ENSCSAG00000019328	60	64	73	11	4
SYN2	0	2	3	0	0
ENSCSAG00000025197	0	0	0	0	0
PARP9	2097	2109	2474	231	264
ENSCSAG00000023064	0	0	0	0	0
RTL4	0	0	0	0	0
ENSCSAG00000024980	0	0	0	0	0
SEC24A	1430	1591	1678	224	288
GJD2	0	0	0	0	0
ENSCSAG00000023421	0	0	0	0	0
ENSCSAG00000019763	0	0	0	0	0
ENSCSAG00000026784	0	0	0	0	0
C2orf16	29	54	42	1	3
PPL	6863	7822	8473	762	739
SLC7A8	121	116	151	4	6
WDR4	559	639	697	88	101
DMRTA2	1	0	1	0	0
ENSCSAG00000026254	0	0	0	0	0
ENSCSAG00000020098	0	0	0	0	0
DVL2	2057	2207	2577	218	225
GPR35	0	0	0	0	1
PTAFR	10	6	11	0	3
WEE2	1	0	0	0	0
DTX3L	740	820	891	82	95
SUSD5	1099	1128	1240	71	80
ENSCSAG00000021951	0	0	0	0	0
SLC11A2	974	966	1151	107	91
KIF20A	2777	3025	3239	271	278
GPI	22554	24322	27505	1926	2152
MFSD12	3561	3864	4359	305	330
TRIP4	880	922	1052	139	146
TGFBR3L	5	2	6	1	0
ENSCSAG00000023619	0	0	0	0	0
MASP2	40	44	29	3	2
ATG4B	1308	1343	1411	151	167
CCDC88A	5420	5915	6213	397	475
TMEM139	170	218	232	11	26
SMCHD1	6025	6490	6681	586	663
CTR9	2486	2614	2822	239	273
ZNF629	3177	3405	3549	354	347
ENSCSAG00000025765	0	0	0	0	0
GINS1	840	946	1044	78	68
CERS3	0	1	5	0	0
ZNF12	636	638	642	94	85
ECM1	493	578	549	35	33
CALR3	136	134	156	8	19
BRS3	1	7	7	0	0
LRMDA	18	11	17	2	3
ENSCSAG00000021599	0	0	0	0	0
EIF4E2	2482	2409	2817	156	206
WSB2	2695	2972	3435	382	472
TLCD3A	429	445	527	45	43
TCEA1	4616	4846	5252	514	634
C2orf80	0	0	0	1	0
MIR590	0	0	0	0	0
CAST	10629	11589	12881	992	1147
ENSCSAG00000020688	0	0	0	0	0
ENSCSAG00000000189	2156	2123	2495	375	432
ENSCSAG00000022665	0	0	0	0	0
CCR6	0	3	1	0	0
PHF19	651	756	857	58	74
IL27	0	0	0	0	0
NME4	3543	3631	4254	315	328
ENSCSAG00000018740	0	0	0	0	0
PTPN23	3063	3281	3588	344	424
CEP97	592	693	665	51	58
ENSCSAG00000022586	0	0	0	0	0
ENSCSAG00000019870	0	0	0	0	0
LPAR3	29	32	35	1	1
CUL1	4873	5318	5768	641	702
VRK3	1184	1215	1425	114	139
ENPP5	1870	1820	2106	100	129
AKT1S1	1741	1779	2138	186	206
DARS2	2901	3029	3298	187	195
TNIP2	2056	2093	2451	333	368
ENSCSAG00000022989	0	0	0	0	0
DEFB114	0	0	0	0	0
ENSCSAG00000001804	2453	2585	2797	316	366
PCSK7	1368	1446	1647	136	152
ARRB1	209	214	221	14	16
ENSCSAG00000016189	117	136	150	18	14
APOL4	14	14	20	1	0
ALKBH7	1460	1413	1719	139	147
ENSCSAG00000002764	3	3	3	0	0
NAT16	655	771	868	88	85
MGAM	56	54	52	2	1
MSLN	541	639	637	64	70
KRT81	10886	11152	13595	1082	1075
PMM2	404	414	466	27	34
ENSCSAG00000016029	0	0	0	0	0
GMPR2	3713	3757	4230	280	323
CCL21	4	3	8	0	0
ENSCSAG00000001898	3127	3218	3542	264	302
AGXT2	0	0	0	0	0
IGLV4-69	0	0	0	0	0
MIR26A1	0	0	0	0	0
HOXD10	1	0	0	0	0
ENSCSAG00000005021	1	3	5	0	5
DCLK3	1	4	4	0	0
HPS4	1595	1726	1867	134	159
MCMBP	3873	3814	4320	313	386
JOSD1	1418	1442	1699	142	169
ENSCSAG00000023404	0	0	0	0	0
PCNX4	524	595	600	38	54
IFNGR1	1469	1576	1734	143	178
ZNF622	1323	1370	1610	233	229
RBPJ	2408	2444	2738	176	218
CCDC85C	631	693	823	108	110
DCLK2	170	177	218	34	31
ENSCSAG00000024167	0	0	0	0	0
WNT6	0	1	1	0	1
WDR87	1	1	0	0	1
BAK1	745	718	913	104	95
WSCD2	211	237	255	13	20
ENSCSAG00000025554	0	0	0	0	0
ENSCSAG00000010250	18605	19360	22105	1321	1600
LMLN	426	431	468	24	29
ENSCSAG00000025027	0	0	0	0	0
ENSCSAG00000025496	0	0	0	0	0
ZNF655	3364	3452	3613	341	438
ZNF148	767	745	841	94	86
ENSCSAG00000007561	0	0	1	0	0
ENSCSAG00000023535	0	0	0	0	0
ENSCSAG00000007290	0	0	0	0	0
CLDN12	255	303	302	26	18
TMOD2	166	172	219	6	16
ICAM1	8	12	6	24	33
ENSCSAG00000027107	0	0	0	0	0
MIR1288	0	0	0	0	0
ENSCSAG00000004825	5	9	8	0	0
ENSCSAG00000006580	1	0	0	0	0
LRRN3	576	625	632	43	40
GRIN2A	1	0	0	0	0
ADNP	5814	6387	6503	602	651
BICD2	3580	3537	4115	410	436
SCN10A	0	0	0	0	0
ENSCSAG00000007803	0	0	0	0	0
KCNJ16	9	9	10	1	0
TMEM233	0	0	0	0	0
IGF2BP2	2941	3075	3455	278	334
RBM33	1791	1975	2198	431	536
ENSCSAG00000002898	0	0	3	0	0
PMP22	0	0	0	0	0
MIR135B	0	0	0	0	0
VPS45	707	713	710	49	57
TRIAP1	627	633	703	44	44
ENSCSAG00000024488	0	0	0	0	0
AP3M1	1077	1154	1296	98	92
GALNS	1511	1524	1817	131	145
ENSCSAG00000010519	2	0	0	0	0
ASB3	484	541	575	56	86
SNORA11	0	0	0	0	0
ENSCSAG00000027069	0	0	0	0	0
YDJC	690	761	873	87	119
ENSCSAG00000007876	340	346	412	58	56
ZBTB41	580	603	657	66	50
MAP6	4	4	2	0	4
MAEL	0	4	2	0	0
ENSCSAG00000004233	1	2	4	0	0
COX4I1	13073	13635	15714	1082	1142
WWC1	7288	8010	8848	947	1007
DCAF5	3207	3344	3658	368	461
ENSCSAG00000011693	1274	1447	1534	135	130
ATP13A4	106	133	152	19	17
ENSCSAG00000023567	0	0	0	0	0
ENSCSAG00000000127	0	0	0	0	0
ENSCSAG00000026945	0	0	0	0	0
ENSCSAG00000020615	0	0	0	0	0
TAS2R9	0	0	0	0	0
IL2	0	0	0	0	0
TRHR	0	0	0	0	0
PARN	2146	2173	2470	186	156
AWAT1	0	0	0	0	0
CXCL11	0	0	0	21	31
TPT1	14339	14635	16618	4523	5162
PKD2L2	2	2	2	1	0
MTR	1786	2011	2059	163	245
KLK7	0	0	0	0	0
CIDEC	716	687	847	34	54
DNAJA3	850	901	1084	169	178
CEP131	1487	1564	1797	269	257
ENSCSAG00000023408	0	0	0	0	0
MKRN3	0	0	0	0	0
LGI4	12	6	5	0	2
CWF19L2	290	294	327	32	39
OR51B6	0	0	0	0	0
ENSCSAG00000018271	0	0	0	0	0
ENSCSAG00000005838	733	744	783	41	50
ENSCSAG00000023827	0	0	0	0	0
ZC3HAV1L	1092	1227	1320	93	113
CDC23	2680	2802	3103	209	235
XKR7	0	2	0	0	0
KRT72	0	0	0	0	0
ITGA9	0	2	1	0	0
ENSCSAG00000018444	0	0	0	0	0
ENSCSAG00000027252	0	0	0	0	0
PRM2	0	0	0	0	0
MBD2	3224	3320	3642	253	262
ZZEF1	2183	2470	2575	431	486
ENSCSAG00000016587	0	0	0	0	0
ODF2	2422	2495	2740	225	231
ENSCSAG00000014843	0	0	0	0	0
HPX	3	1	2	2	0
RBBP5	1595	1751	1927	161	209
BTNL9	3	0	0	0	1
TH	1	0	0	0	0
YBX3	3161	3361	3878	260	337
PLP2	7250	7444	8518	752	763
RFTN2	1	1	3	1	2
ENSCSAG00000020478	0	0	0	0	0
IL18R1	64	71	80	11	13
GKN2	1	0	0	0	0
ZNF7	774	861	880	130	114
ENSCSAG00000026010	0	0	0	0	0
TMEM91	75	94	93	8	6
ASIP	0	1	0	2	0
DENND1A	2992	3215	3362	353	392
MEX3D	2483	2574	2989	508	571
MBOAT4	0	0	0	0	0
SGO2	1198	1361	1372	106	120
PITX3	2	0	2	0	0
VILL	95	90	117	5	5
ENSCSAG00000021983	0	0	0	0	0
ZBED3	296	336	359	23	29
LAG3	5	4	6	0	0
ZNF391	150	169	175	9	13
C1GALT1C1	276	280	329	10	15
ZNF540	20	21	23	0	4
ENSCSAG00000018888	469	488	591	55	81
ENSCSAG00000024237	0	0	0	0	0
MORN5	32	42	34	2	1
ETV7	0	1	0	0	0
IFNA8	0	0	0	0	0
ENSCSAG00000024589	0	0	0	0	0
ENSCSAG00000021179	0	0	0	0	0
PIP4K2B	3074	3215	3580	276	336
ENSCSAG00000025104	0	0	0	0	0
MUL1	1152	1192	1390	135	149
MYT1L	0	0	0	0	0
KIF23	2285	2444	2500	254	244
ENSCSAG00000021155	0	0	0	0	0
ENSCSAG00000015770	0	0	0	0	0
ENSCSAG00000021154	0	0	0	0	0
SBNO2	3311	3553	3848	863	904
CENPA	293	275	285	26	27
UPK3A	15	10	5	1	0
ENSCSAG00000010463	11745	12500	13397	949	1120
ENSCSAG00000026878	0	0	0	0	0
RAB39A	52	63	46	3	11
ENSCSAG00000000532	7	19	0	2	0
FAM131A	347	370	420	97	84
NT5DC3	821	941	909	104	80
ENSCSAG00000023574	0	0	0	0	0
KRBA1	663	733	780	100	127
POP5	562	614	672	69	67
TRIOBP	2983	3096	3713	289	346
ABCD2	3	4	4	0	0
MIR1306	0	0	0	0	0
ENSCSAG00000011013	2	1	6	0	0
ENSCSAG00000009567	0	0	0	0	0
GSTM4	124	135	137	4	8
ENSCSAG00000009888	575	681	747	68	67
ENSCSAG00000021011	0	0	0	0	0
CHRM3	0	0	0	0	0
EIF3A	13142	14153	15947	1504	1718
CDK10	661	678	758	39	63
ENSCSAG00000020513	0	0	0	0	0
STAG1	2536	2683	2723	273	306
CD300LF	0	0	0	0	0
GIMAP8	1	0	1	1	0
PIK3AP1	0	0	0	0	0
DPM2	456	480	580	31	48
ZBTB8A	216	225	217	17	27
ENSCSAG00000006865	1	0	0	0	0
SNORA12	0	0	0	0	0
HORMAD1	0	0	1	0	0
TJAP1	1015	1044	1209	106	150
OR4F6	0	0	0	0	0
FAM234B	851	959	1004	83	88
ITIH1	0	0	0	0	0
YME1L1	4025	4208	4718	314	320
HS3ST6	0	0	2	0	0
MIR4736	0	0	0	0	0
ZNF267	375	379	435	76	73
GEMIN6	299	312	383	40	44
ZNF518B	664	702	793	80	79
NUCB1	7844	8059	8870	571	583
ST3GAL1	1381	1571	1654	276	345
GNB1	12823	13784	15393	1129	1269
ENSCSAG00000020073	0	0	0	0	0
SPRYD3	866	896	961	73	82
ENSCSAG00000022691	0	0	0	0	0
ORMDL3	2142	2251	2523	162	197
BCOR	3779	4306	4376	511	604
ZFC3H1	2049	2433	2476	195	220
ENSCSAG00000026127	0	0	0	0	0
ENSCSAG00000022062	0	0	0	0	0
TAF1C	273	248	297	31	28
ENSCSAG00000000414	0	0	0	0	0
SCAP	8557	8905	10165	1050	1114
ANKRD23	53	70	37	14	15
IL24	0	0	0	0	0
ENSCSAG00000009961	63	73	69	8	7
ENSCSAG00000000531	0	0	0	0	0
ENSCSAG00000000600	62	79	45	7	2
CLN8	447	430	487	44	56
DZANK1	272	221	239	23	22
CHSY1	2134	2134	2266	193	242
EPSTI1	0	0	0	0	0
SLFNL1	13	11	10	3	5
ENSCSAG00000024556	0	0	0	0	0
ENSCSAG00000012062	29569	31393	35730	2127	2450
ENSCSAG00000000334	0	0	0	0	0
MFAP1	2310	2429	2589	179	204
CLDN7	99	134	131	9	9
HDHD3	311	306	344	26	31
FAM92B	0	0	0	0	0
DEFB134	0	0	0	0	0
HTR3C	0	0	1	0	0
PSMG1	1264	1213	1561	113	128
MTARC2	541	584	627	46	46
ENSCSAG00000027407	0	0	0	0	0
ENSCSAG00000026290	0	0	0	0	0
ENSCSAG00000013475	3	5	3	0	0
FAM174A	399	386	379	33	40
PRND	0	0	0	0	0
MLC1	16	19	17	0	0
RANGRF	328	354	396	22	27
ECSIT	856	939	1027	107	87
ENSCSAG00000000157	389	403	447	75	100
GNG11	395	378	448	23	18
ENSCSAG00000003364	0	0	0	0	0
ENSCSAG00000024728	0	0	0	0	0
CAPN15	1494	1616	1991	225	255
ANTXR2	801	921	865	87	106
ENSCSAG00000021392	0	0	0	0	0
RPGRIP1	0	1	0	0	0
WNT9A	195	197	231	18	17
CPTP	246	252	313	28	30
NTN3	42	70	31	9	4
SRI	1481	1584	1837	94	124
ENSCSAG00000026138	0	0	0	0	0
PDE1C	74	82	79	8	9
ENSCSAG00000017794	1204	1308	1427	188	239
BACH2	117	134	99	53	72
ENSCSAG00000024056	0	0	0	0	0
QSOX1	2272	2402	2622	142	179
NRIP3	1	4	2	1	0
ENSCSAG00000022759	0	0	0	0	0
FAM117B	1098	1095	1167	72	94
RXFP3	0	0	0	0	0
TMEM225	0	0	0	0	0
CAAP1	0	0	0	0	0
LANCL2	1334	1365	1509	144	169
PBDC1	501	453	554	32	43
RAG1	4	2	5	3	2
RIIAD1	4	1	0	0	0
OR2B11	0	0	0	0	0
SEC61A1	12418	13005	14907	1030	1127
ZSWIM5	159	139	176	12	17
ENSCSAG00000006750	179	206	234	21	17
FAM98B	805	906	900	66	88
ENSCSAG00000021789	0	0	0	0	0
ENSCSAG00000005986	0	0	0	0	0
PGGHG	318	297	410	29	33
CEP19	1147	1338	1283	152	146
ZNF467	155	154	173	24	20
RNF175	256	280	326	22	24
ENSCSAG00000013349	1903	1863	2029	121	126
ENSCSAG00000007824	0	0	0	0	0
ENSCSAG00000024988	1	0	0	0	0
BARHL2	10	10	12	0	0
ENSCSAG00000026576	0	0	0	0	0
ARRDC1	1584	1715	1851	167	192
ENSCSAG00000000444	89066	94228	106103	8387	8925
CD302	0	0	0	0	0
ENSCSAG00000017508	0	0	0	0	0
LRRC71	0	0	0	0	0
MIR492	0	0	0	0	0
ENSCSAG00000006981	0	1	1	0	0
