Gene	HumanOrtho	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
ENSCSAG00000021364	NA	0	0	0	0	0
SCAI	SCAI	2.11	1.95	1.68	0.42	0.54
ENSCSAG00000018465	NA	56.91	56.93	58.73	46.26	44.93
NET1	NET1	20.98	19.96	18.94	6.24	5.77
KAT6A	KAT6A	6	6.23	5.38	3.13	3.32
ENSCSAG00000027429	NA	0	0	0	0	0
ENSCSAG00000016330	NA	0	0	0	0	0
TBX1	TBX1	0	0	0	0	0
GLRA2	GLRA2	0.05	0.02	0.05	0	0
SLC25A38	SLC25A38	10.76	10.81	9.38	4.64	4.94
TATDN1	TATDN1	5	5.2	4.22	1.32	1.37
ATP8B2	ATP8B2	9.64	9.58	8.83	3.05	3.33
TBCCD1	TBCCD1	2.79	2.59	2.37	0.56	0.71
MIRLET7I	MIRLET7I	0	0	0	0	0
CFAP77	CFAP77	0.19	0.21	0.11	0	0
ENSCSAG00000021615	AC022973.1	0	0	0	0	0
ENSCSAG00000025812	NA	0	0	0	0	0
SREBF1	SREBF1	26.09	26.32	23.3	7.41	6.79
ENSCSAG00000023024	NA	0	0	0	0	0
ENSCSAG00000027458	NA	0	0	0	0	0
PIBF1	PIBF1	4.7	4.88	4.06	2.53	3.11
ZNF837	ZNF837	0.8	0.91	0.87	0.26	0.26
CPLANE1	CPLANE1	3.21	3.32	2.73	0.69	0.66
DCAF10	DCAF10	6.27	6.45	5.38	2.23	1.65
CPVL	CPVL	0	0	0	0	0
DESI2	DESI2	8.25	7.81	7.14	2.11	2.25
P2RX3	P2RX3	0	0	0	0	0
ENSCSAG00000010206	FAM205A	0.01	0	0	0	0
FGR	FGR	0	0	0	0.02	0.01
ENSCSAG00000018331	XIAP	5.42	5.45	4.63	0.95	0.85
RAB43	RAB43	8.74	8.59	8.22	2.22	2.1
FAM171B	FAM171B	1.89	1.74	1.58	0.73	0.96
ACSM3	ACSM3	4.31	3.97	3.62	0.51	0.59
ENSCSAG00000018923	NA	0	0	0	0	0
CAMSAP2	CAMSAP2	5.58	5.59	4.72	1.8	2.09
TAPBPL	TAPBPL	2.46	2.46	2.28	0.48	0.55
UPF2	UPF2	4.8	5.18	4.18	1.29	1.3
LRRC3B	LRRC3B	0.07	0.09	0.08	0	0.12
USP21	USP21	5.42	4.98	4.77	2.51	2.37
ENSCSAG00000016490	NA	0	0	0	0	0
CNTN3	CNTN3	0.82	0.95	0.87	0.34	0.28
ENSCSAG00000027736	NA	0	0	0	0	0
ENSCSAG00000027562	NA	0	0	0	0	0
ENSCSAG00000019880	NA	0	0	0	0	0
RAD18	RAD18	1.59	1.61	1.37	0.3	0.4
ECD	ECD	5.76	5.58	4.8	1.02	1.39
ADCY7	ADCY7	6.08	6.18	5.81	2.26	1.91
PAIP2	PAIP2	33.96	33.86	30.31	5.03	5.43
AZGP1	AZGP1	0.86	0.86	1.12	0.17	0.06
ANKRD16	ANKRD16	1.08	1.11	0.95	0.2	0.23
ENSCSAG00000021417	NA	0	0	0	0	0
TMED1	TMED1	17.54	16.2	15.59	2.61	3.11
PPP1R15B	PPP1R15B	8.98	10.02	8.68	6.21	6.23
SAMD10	SAMD10	1.52	1.77	1.25	0.46	0.17
NFIX	NFIX	5.99	6.72	6.03	1.95	1.74
NLRX1	NLRX1	3.44	3.12	3.11	1.07	1.08
SUPT7L	SUPT7L	5.23	5.2	4.84	1.47	1.47
APP	APP	128.49	124.05	110.8	23.31	23.05
NXF3	NXF3	1.32	1.39	1.13	0.29	0.15
ENSCSAG00000017999	NA	0	0	0	0	0
ENSCSAG00000011486	NA	0	0	0	0	0
KRTAP12-3	KRTAP12-3	0	0	0	0	0
SLC10A4	SLC10A4	0	0	0	0	0
RNF38	RNF38	5.39	5.19	4.6	1.24	1.22
ENSCSAG00000014289	NA	0.06	0	0.04	0	0
FES	FES	1.13	1	1.1	0.29	0.18
ZDHHC14	ZDHHC14	0.94	0.84	0.64	0.17	0.27
HECW1	HECW1	0.71	0.64	0.56	0.09	0.1
ERAP2	ERAP2	2.83	2.85	2.33	0.47	0.5
ENSCSAG00000002763	LHB	0.54	0.59	0.52	0.14	0.03
ENSCSAG00000003073	CASP1	0	0	0	0	0
ENSCSAG00000021040	NA	0	0	0	0	0
CPQ	CPQ	0.52	0.61	0.54	0.13	0.06
ENSCSAG00000008754	NA	0.02	0.05	0.03	0.01	0.01
HS6ST1	HS6ST1	14.16	15.06	13.81	5.82	5.3
LSS	LSS	15.76	15.19	14.04	4.1	3.46
RAD54B	RAD54B	2.49	2.58	2.17	0.62	0.67
BEX1	BEX1	59.31	60.33	52.29	10.77	9.9
CTTNBP2NL	CTTNBP2NL	8.82	8.85	7.77	2.5	2.47
DPH5	DPH5	2.96	2.86	2.66	0.7	0.87
PPP1R3F	PPP1R3F	1.07	1.1	0.82	0.66	0.65
UROC1	UROC1	0	0	0	0.01	0
ENSCSAG00000019049	NA	0	0	0	0	0
KLRK1	KLRK1	0	0	0	0	0
CDH8	CDH8	0.09	0.11	0.08	0.02	0.03
RAB9B	RAB9B	5.34	5.36	5.42	0.56	1.03
ENSCSAG00000004301	NA	0.95	0.96	0.88	0.23	0.16
TSPAN16	TSPAN16	0	0	0	0	0
ENSCSAG00000003521	BCKDHA	4.64	4.56	4.24	1.05	1.21
ELF5	ELF5	0.01	0.04	0.02	0	0
PPP2R2B	PPP2R2B	0.15	0.1	0.09	0.11	0.03
RTL8B	RTL8B	20.61	21.42	17.78	3.76	3.99
CASC3	CASC3	14.78	14.84	13.07	3.64	3.97
TM4SF1	TM4SF1	150.57	131.67	120.4	31.38	30.9
ENSCSAG00000008689	AC018630.2	0	0	0	0	0
SNORD95	SNORD95	0	0	0	0	0
ENSCSAG00000022148	NA	0	0	0	0	0
CCDC136	CCDC136	1.04	1.1	0.91	0.35	0.34
INSL6	INSL6	0	0	0	0	0
SLC26A9	SLC26A9	0.01	0.01	0.01	0	0
MPP3	MPP3	0.9	0.97	0.8	0.59	0.57
ENSCSAG00000023332	NA	0	0	0	0	0
ENSCSAG00000024621	NA	0	0	0	0	0
FBXW9	FBXW9	3	2.75	2.83	0.98	0.88
CELF1	CELF1	12.04	11.98	10.82	3.15	3.47
OR2G2	OR2G2	0	0	0	0	0
ENSCSAG00000018203	SERPINB4	0	0	0	0	0
PRDX2	PRDX2	1.85	1.41	1.54	0.37	0.48
RNF187	RNF187	36.25	33.09	33.03	9.26	7.27
SPRED1	SPRED1	6.64	6.63	4.87	2.6	2.94
IGLV3-9	IGLV3-9	0	0	0	0	0
MIR122	MIR122	0	0	0	0	0
DACH1	DACH1	0.79	0.85	0.6	0.12	0.1
MIR21	MIR21	0	0	0	0	0
BMP15	BMP15	0	0	0	0	0
ALKBH6	ALKBH6	5.42	5.1	5.11	1.16	0.7
MIS18A	MIS18A	9.43	8.89	8.14	1.83	2.05
KLHL29	KLHL29	2.27	2.47	1.98	0.8	0.92
IFFO1	IFFO1	2.1	2.26	1.9	0.76	0.7
KNG1	KNG1	0	0	0	0	0
OR9K2	OR9K2	0	0	0	0	0
ZAR1L	ZAR1L	0	0	0.01	0	0
OAZ2	OAZ2	23.04	22.43	23.03	3.99	4.63
SULT1C2	SULT1C2	0.04	0.02	0.04	0	0.01
ENSCSAG00000021249	NA	0	0	0	0	0
SNORA26	SNORA26	0	0	0	0	0
SIAE	SIAE	6.78	6.1	5.99	0.76	1.38
ENSCSAG00000013897	ACY1	28.68	26.94	25.6	5.69	5.53
RPRML	RPRML	0	0	0	0	0
MFAP2	MFAP2	0.51	0.43	0.28	0.1	0.07
PRG4	PRG4	0.01	0	0.01	0.01	0.01
LRRC4	LRRC4	0.08	0.17	0.06	0.08	0.02
LYSMD2	LYSMD2	0.72	0.66	0.73	0.09	0.25
ENSCSAG00000025656	NA	0	0	0	0	0
ENSCSAG00000026839	NA	0	0	0	0	0
AMPD1	AMPD1	0	0	0	0	0
CALHM5	CALHM5	0.01	0	0.01	0.03	0.05
RIOX2	RIOX2	1.94	1.94	1.7	0.41	0.51
ENSCSAG00000026247	NA	0	0	0	0	0
PROCR	PROCR	5.92	5.38	5.11	1.2	1.21
GPS2	GPS2	7.27	7.41	6.48	1.97	2.2
SAP30	SAP30	3.73	3.87	3.54	1.16	1.03
ELP4	ELP4	5.39	4.93	4.44	1.16	1.07
SLC25A4	SLC25A4	2.65	2.55	2.41	0.62	0.74
ADAT1	ADAT1	2.5	2.57	2.25	0.65	0.56
ENSCSAG00000022537	NA	0	0	0	0	0
TTLL10	TTLL10	0	0	0.02	0	0.02
ZNF45	ZNF45	0.9	0.97	0.8	0.23	0.28
TTC29	TTC29	0.01	0	0.02	0	0
ENSCSAG00000002263	NA	55.13	53.59	51.5	9.89	9.68
ENSCSAG00000023239	AP003179.1	0	0	0	0	0
HOXC9	HOXC9	3.86	4.28	3.52	1.02	0.89
RAB6B	RAB6B	2.93	2.85	2.68	0.65	0.56
NTM	NTM	0	0	0	0	0
CLDN6	CLDN6	0	0	0.05	0	0
GCNT1	GCNT1	2.37	2.53	2.41	0.6	0.82
ENSCSAG00000004129	NA	0	0	0	0	0
ZNF384	ZNF384	4.25	4.34	3.66	1.53	1.65
KRT2	KRT2	0.02	0.01	0.04	0	0
ENSCSAG00000007373	NA	9.2	8.44	7.18	1.94	2.06
ENSCSAG00000019277	NA	0	0	0	0	0
CSRP2	CSRP2	0.78	0.63	0.55	0.15	0.07
ENSCSAG00000021473	AL049745.1	0	0	0	0	0
BAG2	BAG2	4.8	4.23	3.86	0.86	1.64
PPP1R14C	PPP1R14C	3.01	3	2.83	0.69	1.19
RALGAPA2	RALGAPA2	4.18	4.35	3.61	1.01	1.02
SNX9	SNX9	6.23	5.94	5.47	1.53	1.73
ENSCSAG00000025077	NA	0	0	0	0	0
VWF	VWF	0.12	0.14	0.13	0.03	0.05
ZNF165	ZNF165	0.93	0.8	0.75	0.22	0.2
SPTY2D1	SPTY2D1	3.62	3.62	3.01	1.12	1.26
HSF1	HSF1	27.32	26.62	24.76	8.96	8.14
GMPS	GMPS	10.73	10.66	9.67	2.55	2.94
CRY2	CRY2	3.06	3.58	3.13	2.39	2.45
MIR128-2	MIR128-2	0	0	0	0	0
POT1	POT1	4.71	4.34	3.63	0.61	0.85
APOC2	APOC2	0	0	0	0	0
ENSCSAG00000025316	NA	0	0	0	0	0
LRRC14	LRRC14	3.02	2.98	2.67	0.89	1.15
CREB1	CREB1	9.07	8.88	8.29	4.85	4.81
SGSM2	SGSM2	10.35	10.33	9.33	2.17	2.14
ENSCSAG00000022967	NA	0	0	0	0	0
GNAZ	GNAZ	2.8	2.89	2.28	0.68	0.78
DSCC1	DSCC1	4.22	3.83	3.56	0.87	1.39
ADGRG4	ADGRG4	0	0	0	0	0
RSPH4A	RSPH4A	0.65	0.71	0.54	0.12	0.1
MOB3A	MOB3A	8.34	8.51	7.77	2.44	2.47
ENSCSAG00000025670	NA	0	0	0	0	0
ASB9	ASB9	0.02	0.01	0.02	0	0
GRIN3A	GRIN3A	0.25	0.23	0.19	0.04	0.05
ENSCSAG00000006277	NA	0	0	0.01	0	0
GBP7	GBP7	0	0	0	0	0
GRAMD2B	GRAMD2B	2.05	2.34	2	0.69	0.78
OTP	OTP	0	0	0	0	0
ENSCSAG00000022966	NA	0	0	0	0	0
HROB	HROB	3.38	3.55	3.11	1.25	1.18
WFDC8	WFDC8	0	0	0	0	0
HNF1A	HNF1A	0.82	0.57	0.5	0.08	0.29
CD46	CD46	23.52	22.55	20.65	4.09	3.61
SPRED2	SPRED2	11.23	11.34	10.01	3.82	4.2
DMWD	DMWD	14.77	14.33	13.73	5.87	6.3
PTPN1	PTPN1	14.38	15.56	13.16	3.4	4.14
YAE1	YAE1	0.84	0.87	0.71	0.16	0.22
ENSCSAG00000020372	NA	0	0	0	0	0
AKIP1	AKIP1	2.87	2.62	2.65	0.69	0.72
ENSCSAG00000026330	NA	0	0	0	0	0
ENSCSAG00000006998	CSAG3	0	0	0	0	0
MTCL1	MTCL1	3.29	3.65	3.09	2.35	2.26
SAPCD1	SAPCD1	0.27	0.17	0.24	0	0
FAM217A	FAM217A	0.02	0.03	0	0	0
ENSCSAG00000016363	NA	0	0	0	0	0
TNFRSF11A	TNFRSF11A	2.8	2.53	2.28	0.55	0.71
NCBP1	NCBP1	11.28	12.28	10.86	2.63	3.34
TRAV8-6	TRAV8-6	0	0	0	0	0
POLR3K	POLR3K	1.54	1.49	1.53	0.3	0.43
TEC	TEC	0.83	0.8	0.69	0.21	0.2
SNORD62	SNORD62A	0	0	0	0	0
ENSCSAG00000015348	NA	0.57	0.6	0.29	0.16	0.15
BTBD16	BTBD16	0.51	0.47	0.42	0.14	0.02
ENSCSAG00000012388	NA	0	0.21	0	0.27	0
ENSCSAG00000004726	AC025165.6	6.84	6.78	5.88	1.79	1.46
ENSCSAG00000016493	NA	0	0	0	0	0
ENSCSAG00000023386	NA	0	0	0	0	0
ENSCSAG00000006840	NA	0	0.06	0	0	0
CLIC2	CLIC2	0	0	0	0.01	0
ENSCSAG00000006655	ABCF2	15.41	14.61	13.54	4.29	4.44
NDUFAF1	NDUFAF1	2.57	2.31	2.19	0.37	0.53
ALDH3B2	ALDH3B2	3.65	3.48	2.97	1.17	0.52
PHOX2A	PHOX2A	0.02	0	0.02	0.06	0
ENSCSAG00000023763	NA	0	0	0	0	0
TIE1	TIE1	0.06	0.05	0.03	0.01	0.03
ENSCSAG00000024408	NA	0	0	0	0	0
IL1F10	IL1F10	0	0	0	0	0
TRAJ42	TRAJ42	0	0	0	0	0
ENGASE	ENGASE	4.79	4.56	4.21	1.24	1.25
NMI	NMI	12.35	11.72	9.7	3.41	3.76
ENSCSAG00000009404	NA	0	0	0	0	0
DDR2	DDR2	0.08	0.1	0.09	0.33	0.4
ENSCSAG00000020410	NA	0	0	0	0	0
LLCFC1	LLCFC1	0	0	0	0	0
ENSCSAG00000023801	NA	0	0	0	0	0
DPM3	DPM3	40.16	35.64	35	6.72	4.57
MAEA	MAEA	26.68	26.75	24.98	6.99	5.85
OR2T6	OR2T6	0	0	0	0	0
RIMKLB	RIMKLB	3.51	3.59	3.09	0.84	1.16
PHPT1	PHPT1	50.87	51.23	47.74	11.97	10.16
ENSCSAG00000000720	NA	0	0	0	0	0
MIR592	MIR592	0	0	0	0	0
ENSCSAG00000013506	ABCD1	4.39	4.78	4.26	1.19	1.16
FKBP9	FKBP9	18.18	18.11	15.52	3.25	2.89
ARHGAP1	ARHGAP1	26.43	26.73	23.36	5.27	4.85
ENSCSAG00000025216	NA	0	0	0	0	0
CSN2	CSN2	0	0	0	0	0
TRARG1	TRARG1	14.65	13.8	12.49	2.85	2.93
FZD1	FZD1	11.6	11.31	10.56	3.28	3.01
PUS10	PUS10	1.1	1.06	0.87	0.3	0.3
ENSCSAG00000021661	NA	0	0	0	0	0
ENSCSAG00000012347	GAPDH	0.2	0.24	0.19	0	0.04
DEFA6	DEFA6	0	0	0	0	0
FCRLA	FCRLA	0.01	0	0.01	0	0
PSMD13	PSMD13	31.71	31.71	28.78	7.26	7.83
ENSCSAG00000007850	NA	0	0	0	0	0
ENSCSAG00000012250	NA	0	0	0	0	0
ENSCSAG00000013750	NA	0	0.07	0.04	0	0
ENSCSAG00000016821	UBE2Q2L	0	0	0	0	0
NAT8L	NAT8L	6.67	5.72	5.85	2.16	2.08
MMP25	MMP25	0	0	0	0.02	0.02
ENSCSAG00000006907	NA	0.06	0.34	0	0	0
LYPD3	LYPD3	0.32	0.2	0.09	0.04	0.12
DNAJC17	DNAJC17	7.72	7.67	6.78	2.19	2.34
ENSCSAG00000018939	NA	0.01	0	0	0	0
RASIP1	RASIP1	0.54	0.63	0.55	0.16	0.12
CNPY4	CNPY4	7.25	6.76	6.28	1.59	1.34
GAPDHS	GAPDHS	0.01	0.04	0.01	0	0
RUNDC3B	RUNDC3B	0.38	0.4	0.3	0.25	0.13
RUNX3	RUNX3	0.05	0.05	0.05	0.05	0.07
INO80	INO80	4.88	5.22	4.31	1.87	1.88
DDX18	DDX18	13.97	14.15	12.84	2.87	3.12
ENSCSAG00000020945	MIR516A1	0	0	0	0	0
ENSCSAG00000024137	NA	0	0	0	0	0
FTMT	FTMT	0	0	0	0	0
ANKRD55	ANKRD55	0.04	0.02	0.06	0	0.02
ENSCSAG00000021856	NA	0	0	0	0	0
ENSCSAG00000026743	NA	0	0	0	0	0
RAP1GDS1	RAP1GDS1	6.89	6.86	5.96	2.03	2.17
ENSCSAG00000015984	TUBA4B	0	0	0	0	0
HES5	HES5	0	0	0	0	0
CNPY1	CNPY1	0	0	0	0	0
LGR6	LGR6	0.06	0.07	0.11	0.03	0.01
RASA1	RASA1	21.17	20.66	18.81	5.4	5.49
PLA2R1	PLA2R1	13.45	14.24	11.58	2.55	2.17
SLC7A6OS	SLC7A6OS	5.67	5.73	5.09	2.03	2.09
SNAP47	SNAP47	4.85	4.93	4.46	1.41	1.28
ANTXR1	ANTXR1	7.85	7.64	6.48	1.29	1.17
KL	KL	0	0	0	0	0
BEND3	BEND3	1.75	2.01	1.66	0.53	0.61
SNORD65	SNORD65	0	0	0	0	0
THTPA	THTPA	9.95	9.93	8.36	2.85	2.35
PRPF40A	PRPF40A	19.12	18.65	15.82	5.12	5.51
LSM6	LSM6	8.87	8.33	7.95	1.45	2.03
ATP6V1C1	ATP6V1C1	20.66	20.87	18.72	4.17	4.23
TEX38	TEX38	0.14	0	0.03	0.18	0
CDCP2	CDCP2	0	0.01	0.02	0.03	0.03
ENSCSAG00000022111	NA	0	0	0	0	0
ENSCSAG00000016729	NA	23.58	24.92	21.24	4.01	3.84
ENSCSAG00000026967	NA	0	0	0	0	0
ENSCSAG00000027564	NA	0	0	0	0	0
C7orf25	C7orf25	4.52	4.91	4.39	1.07	0.8
CCDC83	CCDC83	0	0	0	0	0
AMER1	AMER1	1.09	1.09	0.95	0.42	0.4
ENSCSAG00000014737	NA	0.94	1.05	0.94	0.45	0.48
ENSCSAG00000003994	NA	0.03	0.05	0.02	0	0
ENSCSAG00000000440	IFNA13	0	0	0	0	0
ENSCSAG00000000533	MUS81	8.09	8.32	7.41	3.22	2.59
SNX11	SNX11	2.44	2.39	2.05	0.6	0.47
HRCT1	HRCT1	7.74	6.73	6.84	0.4	1.1
FAM200A	FAM200A	1.89	2.1	1.75	0.68	0.76
ENSCSAG00000018430	IFI27	0	0.19	0	0.24	0
HOXC10	HOXC10	5.23	5.24	4.69	1.77	1.4
ENSCSAG00000026468	NA	0	0	0	0	0
OR10K2	OR10K2	0	0	0	0	0
UBE2J1	UBE2J1	4.55	4.61	3.9	1.1	1.12
ABHD17B	ABHD17B	3.91	3.5	3.36	0.89	0.91
ENSCSAG00000026179	AC009967.1	0	0	0	0	0
ISG20	ISG20	2.39	2.05	1.99	1.2	0.96
SCAF1	SCAF1	24.94	25.33	23.87	7.47	7.29
COMMD6	COMMD6	6.01	5.83	5.28	1.07	1.39
ENSCSAG00000013960	IGLV2-14	0	0	0.03	0	0
ENSCSAG00000020644	NA	0	0	0	0	0
C2orf69	C2orf69	2.6	2.78	1.92	0.83	0.48
HECW2	HECW2	0.14	0.11	0.12	0.05	0.04
CCDC33	CCDC33	0.12	0.06	0.04	0.01	0.02
ENSCSAG00000021386	NA	0	0	0	0	0
ENSCSAG00000018861	NA	0.08	0.05	0	0	0.09
THAP2	THAP2	0.38	0.37	0.33	0.08	0.18
ENSCSAG00000025537	NA	0	0	0	0	0
ENSCSAG00000004017	CENPE	2.59	2.98	2.35	0.62	0.52
OR8S1	OR8S1	0	0	0	0	0
OLFML2B	OLFML2B	9.12	8.34	7.13	2.92	2.26
RHOF	RHOF	7.49	7.03	7.21	1.74	2.34
PAN3	PAN3	5.7	5.69	4.88	1.52	1.67
SLC29A3	SLC29A3	2.3	2.08	1.87	0.38	0.28
VAX1	VAX1	0	0	0	0	0
PLA2G4C	PLA2G4C	0.56	0.79	0.47	0.87	0.91
ABCB1	ABCB1	26.71	29	24.85	7.46	7.92
KCNK9	KCNK9	0	0	0	0.01	0.01
PHLDA3	PHLDA3	21.94	21.96	19.22	4.79	5.21
ENSCSAG00000026344	NA	0	0	0	0	0
UBOX5	UBOX5	1.73	1.75	1.48	0.51	0.67
TUBGCP4	TUBGCP4	11.83	11.08	10.07	2.71	2.36
GPR176	GPR176	1.38	1.42	1.29	0.62	0.65
MIR208A	MIR208A	0	0	0	0	0
P2RX2	P2RX2	0.01	0.02	0.02	0	0.03
ACSS2	ACSS2	14.94	13.98	12.96	3.78	4.5
ENSCSAG00000020876	NA	0	0	0	0	0
TMBIM6	TMBIM6	87.73	80.89	74.57	12	12.78
PSMC5	PSMC5	52.11	50.07	46.57	12.78	11.67
ENSCSAG00000023911	NA	0	0	0	0	0
THOC3	THOC3	21.2	21.15	19.48	4.08	4.87
MEPCE	MEPCE	17.67	17.55	16.34	4.75	5.32
ZNF292	ZNF292	1.36	1.39	1.1	0.65	0.73
WNK3	WNK3	0.02	0.01	0.02	0	0.01
ENSCSAG00000018398	NA	2.06	2.17	2.69	1.39	1.39
RHNO1	RHNO1	13.12	12.42	11.34	2.72	3.21
ENSCSAG00000027234	NA	0	0	0	0	0
SCRN3	SCRN3	3.95	3.35	3.22	0.77	0.76
ENSCSAG00000018626	NA	0	0	0	0	0
NOP14	NOP14	7.08	7.08	6.32	2.17	2.5
ENSCSAG00000009380	NA	0	0	0	0	0
PYM1	PYM1	5.67	5.34	4.85	1.69	1.51
ARHGAP32	ARHGAP32	0.84	0.89	0.73	0.31	0.27
LIPI	LIPI	0.18	0.23	0.16	0.04	0.07
FOXF1	FOXF1	0	0	0	0	0
PADI2	PADI2	0.22	0.23	0.15	0.05	0.04
AGO3	AGO3	2.4	2.62	2.13	1.34	1.3
RASL10A	RASL10A	0.04	0.13	0	0	0
PRUNE1	PRUNE1	5.33	5.18	4.6	1.19	1.42
NSFL1C	NSFL1C	32.06	31.56	29.92	7.33	8.29
STKLD1	STKLD1	0.5	0.47	0.44	0.14	0.09
ENSCSAG00000020849	NA	0	0	0	0	0
RNF133	RNF133	0.06	0.1	0.03	0.08	0
CDPF1	CDPF1	1.25	1.18	1.78	0.94	0.22
ENSCSAG00000018749	NA	0	0	0	0	0
RING1	RING1	7.28	7.27	6.72	2.33	2.23
ENSCSAG00000011615	NA	0	0	0	0	0
SLC6A15	SLC6A15	1.89	1.72	1.46	0.66	0.7
NSD1	NSD1	8.93	9.39	7.86	2.77	2.88
MIR3665	MIR3665	0	0	0	0	0
SLC27A5	SLC27A5	1.7	1.71	1.58	0.42	0.39
ENSCSAG00000000477	UQCRHL	169.51	180.97	162.6	53.91	50.24
TSPAN19	TSPAN19	1.3	1.13	0.86	0.13	0.12
MCM3AP	MCM3AP	11.24	11.95	10.47	4.13	4.1
SYTL4	SYTL4	2.23	2.51	2.15	0.52	0.4
TLE1	TLE1	25.34	24.85	21.92	8.26	7.47
SNORD114-21	SNORD114-21	0	0	0	0	0
PARP1	PARP1	39.25	39.43	35.11	7.11	7.2
ENSCSAG00000021471	NA	0	0	0	0	0
PDXDC1	PDXDC1	13.21	13	11.71	3.2	3.16
ENSCSAG00000015371	NA	0	0	0	0	0
GIPR	GIPR	0.1	0.06	0.06	0.03	0.03
ZNF425	ZNF425	1.17	1.05	1.03	0.39	0.41
EFS	EFS	0	0	0	0	0
INPP4B	INPP4B	1.5	1.41	1.24	0.61	0.57
RAN	RAN	198.52	203.69	185.93	49.26	51.66
ENSCSAG00000020029	NA	0	0	0	0	0
HMG20B	HMG20B	45.26	43.98	41.77	9.97	9.61
ZNF85	ZNF85	0.03	0	0.03	0	0.02
BHMT2	BHMT2	0	0.01	0	0	0
RUNDC1	RUNDC1	8.09	7.79	7.03	2.76	2.31
FGD2	FGD2	0.06	0.01	0.02	0	0.02
PAXIP1	PAXIP1	2.54	2.54	2.27	1.02	1.23
SYNE3	SYNE3	0.09	0.08	0.1	0.08	0.05
ENSCSAG00000016145	NA	1.33	2.25	1.14	0.79	0.85
PLEKHM2	PLEKHM2	10.13	9.81	9.04	5.39	5.53
ENSCSAG00000027984	NA	0	0.01	0.02	0	0
WFDC2	WFDC2	0	0	0.03	0	0
STMN4	STMN4	1.75	1.86	1.55	0.49	0.29
MIR363	MIR363	0	0	0	0	0
ENSCSAG00000025884	NA	0	0	0	0	0
TCTA	TCTA	20.06	14.72	13.84	4.25	2.93
BMP10	BMP10	0	0	0	0	0
WSB1	WSB1	15.68	16.07	12.54	4.16	4.53
ENSCSAG00000002852	NA	0	0	0	0	0
ENSCSAG00000015207	NA	0.09	0.13	0.09	0.12	0
ENSCSAG00000007220	ODC1	43.07	41.86	39.15	22.3	24.16
ENSCSAG00000018707	SYCP3	0	0	0	0	0
ENSCSAG00000027109	NA	0	0	0	0	0
ENSCSAG00000016120	MRPS17	5.87	5.71	4.94	1.23	1.38
WDR31	WDR31	0.61	0.54	0.48	0.11	0.07
ENSCSAG00000018375	NA	0	0	0	0	0
RAD51D	RAD51D	6.3	6.98	6.57	1.84	2.48
TTC19	TTC19	1.8	2.04	1.67	0.6	0.42
PLA2G4D	PLA2G4D	0	0	0	0	0
FGD1	FGD1	2.59	2.61	2.42	0.75	0.69
ENSCSAG00000000569	MIS12	3.23	2.7	2.15	0.99	0.66
FAM71B	FAM71B	0	0	0	0	0
STOML1	STOML1	1.74	1.62	1.64	0.56	0.66
GPHA2	GPHA2	0.09	0.08	0	0	0
MAP3K13	MAP3K13	0.64	0.6	0.57	0.55	0.45
C19orf44	C19orf44	1.89	1.66	1.68	1.09	1
ENSCSAG00000001734	NA	0.08	0	0.06	0	0
CD84	CD84	0	0	0	0	0
MAPT	MAPT	4.39	4.56	3.97	1.19	1.14
ZFP37	ZFP37	0.59	0.52	0.48	0.06	0.31
ZSCAN32	ZSCAN32	0.5	0.55	0.42	0.14	0.18
ENSCSAG00000015429	NA	0.03	0.03	0.07	0	0
HDAC2	HDAC2	39.01	38.32	34.47	8.64	9.17
THAP11	THAP11	8.74	8.96	8.33	1.91	2.39
IL22	IL22	0	0	0	0	0
TINAGL1	TINAGL1	12.4	12.5	11.75	3.07	3.24
MRPL16	MRPL16	25.99	23.72	22.73	4.97	4.2
ENSCSAG00000026516	NA	0	0	0	0	0
GJB3	GJB3	12.2	11	9.8	3.83	3.68
ZMPSTE24	ZMPSTE24	13.48	13.53	12.17	2.14	2.35
ENSCSAG00000009720	FAM25C	0	0	0	0	0
MIR15B	MIR15B	0	0	0	0	0
TMEM95	TMEM95	0	0	0	0	0
MRGPRX1	MRGPRX1	0	0	0	0	0
ACTA1	ACTA1	12.31	10.55	9.81	4.29	4.36
PLXNA4	PLXNA4	0.38	0.42	0.36	0.13	0.13
KY	KY	0.03	0.02	0.01	0.02	0
CBFB	CBFB	10.95	10.86	9.37	2.26	2.48
NPY2R	NPY2R	0	0	0.01	0	0
CARTPT	CARTPT	0	0	0	0	0
UBFD1	UBFD1	12.48	12.56	11.21	2.48	2.85
ENSCSAG00000009385	NA	0	0	0	0	0
MAGOH	MAGOH	18.42	18.08	15.77	3.7	3.72
PARD6A	PARD6A	5.14	4.72	4.34	1.82	1.83
DPYSL4	DPYSL4	9.65	9.78	8.91	2.54	2.29
NATD1	NATD1	3.93	2.37	2.22	0.87	0.8
TTC28	TTC28	5.71	6.09	4.95	2.96	2.39
CCDC160	CCDC160	0.49	0.44	0.32	0.09	0.04
FBP2	FBP2	0	0	0	0	0
EED	EED	6.22	6.08	5.85	1.87	1.57
ENSCSAG00000001514	NA	0	0	0	0	0
PLSCR1	PLSCR1	7.62	7.77	6.71	2.21	2.05
