Genes	SAMN14563423_Series7_Calu3_Mock_1	SAMN14563422_Series7_Calu3_Mock_2	SAMN14563421_Series7_Calu3_Mock_3	SAMN14563420_Series7_Calu3_SARS-CoV-2_1	SAMN14563419_Series7_Calu3_SARS-CoV-2_2	SAMN14563418_Series7_Calu3_SARS-CoV-2_3
FYTTD1	367	416	1332	1121	615	994
CAPZA3	0	1	2	2	0	0
BV03S1J2.2	0	0	0	0	0	0
SPATA31A5	0	0	0	0	0	0
DQ590088	0	0	0	0	0	0
DHX30	417	985	2086	865	444	970
DQ572301	0	0	0	0	0	0
UBL7	468	995	1893	866	339	852
FAM122A	92	119	316	175	124	203
TFF2	0	0	7	2	2	7
AX721280	0	0	0	3	3	9
CEP55	695	954	2634	830	527	817
RSRC2	427	734	1485	2072	1289	1990
CRB3	228	430	922	327	162	430
EDN3	0	0	0	0	0	0
S1PR1	0	0	2	1	0	1
CCDC157	23	63	104	20	18	29
ZNF135	0	0	0	0	0	0
SNORD116-19	0	0	0	0	0	0
S100A7A	0	0	0	1	0	0
ZNF433	6	22	31	39	24	44
LOC339505	0	0	0	0	0	0
TIMM44	186	430	757	640	275	601
AGAP3	324	654	1374	454	254	587
TMEM208	391	1003	1890	542	333	650
SRRT	573	1248	2626	886	412	907
ERN1	24	28	115	177	98	214
RASAL1	368	851	1824	755	444	930
CRYGS	6	24	34	12	16	11
JX073282	0	0	0	0	0	0
GEMIN2	76	166	372	180	104	186
TSLP	2	4	7	8	10	5
PCDH11X	0	5	9	6	4	8
ITGA7	28	89	194	63	27	92
GRAP	0	3	0	0	0	1
SFR1	90	147	315	317	152	313
UOX	1	0	0	2	0	2
DQ583307	0	0	0	0	0	0
BEST1	0	4	10	30	8	32
NDFIP2	236	217	886	432	219	357
ZNF23	119	152	385	306	201	321
KIAA1804	248	305	966	407	245	398
CRYAB	0	4	20	2	2	3
OR5D13	0	0	0	0	0	0
AK127555	35	72	144	235	156	245
KC136303	0	0	0	0	0	0
AK124066	0	0	0	0	0	0
MIR4782	0	0	0	0	0	0
BC132858	0	0	0	0	0	0
CHD5	0	1	2	4	0	5
DQ586890	0	0	0	0	0	0
C12orf4	150	167	491	230	183	237
C1orf51	4	17	40	22	4	19
HRCT1	0	10	8	8	9	13
XIST	0	2	2	0	0	0
NRTN	29	87	127	12	8	35
PDE4D	59	34	114	255	152	204
ARID2	102	99	390	289	154	280
SHARPIN	515	1288	2774	848	490	1061
NFYA	269	413	1078	614	357	567
DQ583499	0	0	0	0	0	0
LOC100131320	0	0	0	1	0	0
EPR-1	169	410	722	161	85	176
CREG1	1000	1420	3363	1071	775	1263
LGR6	0	0	1	16	2	16
AK027257	0	0	3	4	0	0
AGBL5	249	389	942	285	163	350
FAM65C	22	42	112	179	84	189
LOC283038	2	2	6	0	1	0
AMOT	118	133	429	174	99	180
LOC283403	1	1	3	3	3	6
IL12RB1	1	5	9	3	4	4
GRM5-AS1	91	152	418	256	173	182
CGB	1	10	43	51	27	36
LOC100653046	0	2	8	16	3	16
AF157115	4	8	12	18	2	14
DQ594995	0	0	0	0	0	0
LY6G6E	0	0	0	0	0	0
THSD7A	48	55	211	99	62	102
SIM1	0	0	0	2	0	0
PXK	32	35	99	64	37	79
AK097702	1	1	0	1	2	1
AX747507	0	6	15	2	3	6
AK056368	18	24	72	69	27	69
MIR1912	0	0	0	0	0	0
GPR89B	122	136	550	219	51	222
GIT2	255	386	1018	601	280	582
LOC284751	5	14	19	28	14	32
KCNT2	6	2	21	43	21	47
SGCD	0	0	0	0	0	0
SNORD61	0	0	0	0	0	0
CBX3P2	1	6	11	5	4	7
NUP210L	1	0	1	1	1	1
DQ582977	0	0	0	0	0	0
KC136302	0	0	0	0	0	0
TYROBP	0	0	0	0	0	0
DQ577092	0	0	0	0	0	0
RNASE1	427	879	1849	1503	794	1805
LINC00911	0	0	0	0	0	0
EFR3A	860	754	2936	1939	1114	1829
TAF1L	0	0	3	1	0	0
AP5Z1	293	605	1254	785	367	845
HTR3D	0	0	0	0	0	0
RAB6B	62	118	217	98	63	102
COL16A1	19	58	121	218	106	232
DQ586378	0	0	0	0	0	0
TRIM22	17	35	80	2161	1080	1957
GTPBP10	115	152	369	446	200	342
GDAP2	108	120	373	176	108	199
AQP4	53	65	149	65	31	54
MLNR	0	2	6	0	1	2
AVPR2	0	0	1	0	0	1
MIR644A	0	0	0	0	0	0
PSG3	0	3	4	0	0	4
HIPK3	261	229	965	777	521	731
CDK16	1116	2249	5050	2021	1052	2382
SNORA5B	0	0	0	0	0	0
AK022997	4	3	14	8	3	3
PPP1R13L	475	1143	2200	1340	848	1650
DQ592713	0	0	0	0	0	0
SEC24B-AS1	4	6	8	2	3	5
IFT57	377	645	1295	655	407	654
SH2D4B	0	0	3	0	1	2
ZAK	476	556	1734	974	550	895
STARD3NL	790	1354	3013	2029	1179	1849
BC043580	0	0	0	0	0	0
MEN1	305	620	1378	536	269	532
SKIL	709	753	2350	4520	2776	3804
LOC730183	7	15	51	18	16	17
IER3	2073	5028	9189	15590	8244	17188
CPEB3	24	21	85	153	73	162
SPINK6	0	0	0	0	0	0
MSANTD4	86	133	405	330	152	244
ABCC8	0	2	0	1	2	2
MIR508	0	0	0	0	0	0
ZCCHC10	127	151	377	293	213	264
TMEM161A	157	435	778	211	70	263
DENND5A	244	350	1024	821	393	866
TMEM44	112	294	560	319	151	381
KCNC3	39	70	145	105	60	133
TRMT13	52	57	187	165	103	173
TBX20	1	5	17	9	0	12
DTX2	126	330	623	569	289	625
SPACA1	0	0	0	0	0	0
C5orf51	198	238	712	377	267	359
DQ577234	0	0	0	0	0	0
INTS4L2	0	0	1	0	0	0
CHRNA3	8	4	24	7	10	15
MYO1A	0	4	2	3	0	1
LINC00700	0	0	1	0	2	1
IGHV3-07	0	0	0	0	0	0
ZNF394	58	82	237	171	78	184
MIR5684	0	0	0	0	0	0
CFTR	5677	7513	21870	12225	7271	12230
TNNT2	0	2	4	5	3	6
SMKR1	0	7	10	1	8	3
CRAMP1L	167	341	870	545	303	642
CHAF1A	342	604	1313	371	189	411
DQ576490	0	0	0	0	0	0
OPLAH	55	116	236	188	86	222
BC043293	0	0	0	0	0	0
ZNF827	74	92	366	254	103	292
SYS1	328	737	1751	923	494	999
IGF2R	2016	2784	9104	4892	2373	4917
NMU	25	52	78	30	21	20
RNU6-81P	0	0	0	0	0	0
LOC402160	0	0	0	0	0	0
PCDHA3	1	2	3	7	0	0
MIR3652	0	0	0	0	0	0
NPW	6	27	28	5	3	7
PRAMEF16	0	0	0	0	0	0
FW420894	0	0	0	0	0	0
KDM4C	77	148	359	217	146	208
DQ594539	0	0	0	0	0	0
ERI2	128	136	460	193	171	205
LOXL2	168	289	787	478	300	646
TMEM164	445	751	1879	647	367	804
LRRN1	195	265	754	451	272	460
LOC100652739	0	0	2	0	0	0
CXCL10	13	13	44	1516	806	1543
POM121	259	455	1175	432	236	537
KRTAP10-3	0	0	0	0	0	0
CRHBP	0	0	0	0	0	2
GABPB1	214	354	810	622	345	598
RPL7L1	791	1244	3301	1963	893	1877
SFXN1	550	892	2105	862	495	859
AK124970	10	18	74	52	26	51
OR11H4	0	0	0	0	0	0
ANKS6	270	482	1340	460	204	446
LINC00309	0	0	0	0	0	0
DQ588687	0	0	0	0	0	0
MRPL24	707	1496	2901	1036	506	1020
DQ597717	0	0	0	0	0	0
DQ656015	0	0	0	0	0	0
SNORA41	0	0	0	0	0	2
C9orf131	0	0	4	0	0	3
PAPOLG	80	91	314	355	202	342
ZNF614	104	105	303	296	188	253
ISM1-AS1	0	1	0	1	0	2
ZNF205-AS1	9	15	25	9	6	13
GAGE2E	0	0	0	0	0	0
ENOSF1	198	426	959	333	179	371
SHE	0	0	0	0	0	0
PKP3	978	2283	4507	1285	773	1724
C2orf16	3	15	33	25	28	37
BC052578	1	0	1	1	2	1
SBSN	0	0	2	0	0	1
BC039353	1	1	1	2	1	2
SMNDC1	241	225	620	672	432	576
PMPCB	237	440	945	684	375	619
GRID2IP	16	24	68	42	17	38
SART3	579	958	2313	1510	670	1373
SNORD115-2	0	0	0	0	0	0
PLCE1-AS1	0	0	0	0	0	0
SDC3	359	702	1847	794	393	750
SPRED2	210	270	769	510	236	507
AK125128	0	0	0	0	0	0
HPS5	200	261	780	591	355	622
EIF2AK4	166	210	599	328	136	302
LOC440894	177	224	665	279	201	286
MSANTD3	154	279	554	404	222	477
BC036442	0	6	7	12	1	7
SNORD103A	0	0	0	0	0	0
SYT16	20	17	69	36	13	10
BC029578	0	0	0	0	0	0
LAIR1	28	54	141	104	62	135
CXorf22	2	0	2	2	0	1
PALLD	242	319	854	637	374	615
SDS	0	3	2	13	15	22
XAGE5	0	0	0	0	0	0
ITPK1-AS1	0	0	3	0	1	0
ACRC	17	58	106	71	52	74
TRIM42	0	0	0	0	3	0
CHRDL2	0	0	0	0	0	0
KRT76	0	0	0	0	0	0
MIR5193	0	0	0	0	0	0
TNPO1	1211	1358	4316	2612	1334	2184
ATF3	89	141	275	4747	2885	5424
NABP1	230	246	669	765	409	724
CENPV	199	446	805	192	80	206
SLC6A5	0	0	0	0	0	0
RNF144A	88	131	424	283	136	296
RBFA	145	360	591	200	98	218
SBP1	75	240	387	250	145	252
CHPF2	550	1101	2561	877	439	1132
ARVCF	97	300	590	241	140	261
NR3C1	316	435	1256	1350	756	1410
ART3	3	14	18	16	5	37
CSNK1A1P1	1	2	5	2	1	4
PANK4	105	248	593	259	115	303
QTRT1	122	303	527	138	62	137
POMT1	102	191	417	151	100	171
SNORD116-12	0	0	0	0	0	0
OR9Q1	0	0	0	0	0	0
TDO2	0	0	1	0	0	0
SETD5	345	634	1779	1156	666	1222
VLDLR	181	248	701	585	334	616
LONRF2	70	110	397	93	51	84
CCDC50	785	1095	2683	2352	1281	2038
FLJ33534	0	0	0	0	0	0
DQ581179	0	0	0	0	0	0
IDH3G	555	1300	2475	705	391	784
CDX2	3	8	18	2	4	4
EXOC3L1	1	1	13	21	4	30
ZDHHC1	106	258	560	176	129	253
TOR1AIP2	578	764	1954	1256	738	1231
SPOP	443	657	1626	949	598	985
ABCC12	0	0	1	0	0	1
BC052952	0	3	0	0	1	1
HSPA5	4952	9011	19576	9965	5246	9103
SPP1	12787	18585	44965	10548	6129	10979
IZUMO3	0	0	0	0	0	0
DQ574806	5	4	21	8	2	7
BRD2	1832	3210	8243	6127	3214	6401
HOGA1	78	161	335	65	24	61
KLHL13	6	12	35	1	6	7
WTAP	705	994	2306	2228	1440	2336
IGH@	0	0	0	1	0	1
MOV10	297	591	1453	1123	546	1206
CDRT15	0	0	0	0	0	1
JA783645	0	0	0	0	0	0
DQ570497	0	0	0	0	0	0
AX748267	2	0	0	1	0	2
LINC00239	2	20	29	19	19	20
LOC285074	66	118	270	173	102	188
RASL12	1	1	10	3	2	2
MT1M	0	1	10	1	0	1
TEX2	168	237	712	274	132	217
NFKB2	362	840	1654	2164	1084	2482
LOC285547	0	0	0	0	0	0
SOGA2	644	1071	3155	1407	598	1502
MIR1224	0	0	0	0	0	0
ITPKC	289	528	1204	1315	793	1547
OR4P4	0	0	0	0	0	0
ARL14	669	1013	2115	1887	1367	1811
RPS6KA6	25	28	103	70	24	49
LINC00856	0	1	0	0	0	0
TEX26	0	0	1	0	0	0
AX747809	0	0	4	0	0	5
CHMP2A	1449	3129	5582	2339	1289	2327
PKIA	21	29	76	21	7	14
MIR1236	0	0	0	0	0	0
HCN4	0	0	1	0	0	1
NKIRAS2	497	919	2090	1300	604	1338
ANGPT2	3	1	0	9	7	7
ATF6B	992	1832	4314	1267	633	1444
STRF6	100963	159718	381203	262875	137150	286668
NAPA	873	1975	4149	3164	1386	3159
DQ583069	0	0	0	0	0	0
C12orf40	0	0	0	0	0	0
PPAPDC1B	476	919	1921	748	382	730
RPL8	15989	34901	64052	25063	14779	27747
C9orf16	551	1326	2186	756	512	1019
MRGPRX1	0	0	0	0	0	0
WDR47	50	57	208	101	66	132
D28359	4	3	10	17	0	8
RNF169	126	164	651	535	315	494
ARID1A	347	477	1557	1118	574	1319
MIR4279	0	0	0	0	0	0
NFIL3	134	225	520	463	280	515
BC033456	0	0	0	0	0	0
ZSWIM7	46	101	212	111	54	131
TFAP2E	2	7	10	5	1	3
MTFR2	86	175	341	151	89	132
DGCR8	274	507	1261	410	244	429
FBLN7	14	11	16	7	2	3
LINC00112	0	0	0	0	0	0
C22orf23	63	105	306	230	116	254
ORAI2	141	326	725	173	90	213
SOX13	170	286	710	494	292	577
DQ574380	0	0	0	0	0	0
UBL5	845	2150	3797	1084	507	1226
PGLS	309	886	1550	612	386	817
MIR1277	0	0	0	0	0	0
SIN3A	633	906	2402	1314	817	1344
AVPR1B	0	0	3	0	0	3
SKA1	244	420	918	371	242	370
FKBPL	152	334	638	271	132	281
SOCS4	169	189	598	418	276	323
OVOS2	8	4	20	9	2	15
ANXA1	4975	7459	18488	6629	3966	6217
HSD17B11	661	877	2106	979	663	995
MTMR3	336	570	1592	1168	548	1342
SMOC1	427	799	1718	1150	563	1282
PHOX2A	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
RAPH1	484	664	2149	1628	915	1399
FLJ34503	0	0	1	0	0	0
SEMA3F	8	16	45	17	18	16
DQ576999	0	0	0	0	0	0
PRC1-AS1	0	1	1	1	0	2
RGS4	3	3	7	4	7	1
P2RY8	0	0	0	0	0	0
OR5AS1	0	0	0	0	0	0
HMGN4	596	893	1989	1306	817	1118
DKFZp686J1569	81	137	283	128	123	167
FOXM1	581	1147	2661	706	352	777
ADAMTS8	1	4	2	0	0	2
MIR556	0	0	0	0	0	0
GRAMD1B	21	14	74	10	10	16
GPHN	123	181	472	228	135	239
MIR5583-2	0	0	0	0	0	0
OR6C70	0	0	0	0	0	0
TARP	0	0	0	0	0	0
AK026777	1	0	1	0	0	3
FAM50B	42	115	207	90	51	114
LRIG2	44	38	170	202	96	155
KCNJ4	0	0	0	0	0	2
DKFZp434B061	0	0	0	1	0	0
PMS2P3	9	15	75	15	12	18
TEX9	34	40	116	59	29	54
MLLT4-AS1	3	5	14	17	8	22
ZNF645	0	0	0	0	0	0
POLR1C	306	620	1329	523	230	532
NOP9	57	131	409	151	52	148
TARDBP	1126	1819	4254	2313	1099	2021
NELFE	1426	3039	6113	2233	1136	2287
RAPGEFL1	204	422	945	423	194	452
BC044614	0	0	0	0	0	0
MIR1973	0	0	0	0	0	0
PTTG1	1200	2386	4435	2064	1141	2049
MYO19	630	1194	3296	1210	526	1266
BMPER	0	0	0	5	4	5
DQ596866	0	0	0	0	0	0
DQ570891	0	0	0	0	0	0
MIR3125	0	0	0	0	0	0
LYL1	13	5	18	21	3	19
FAM182B	0	0	1	0	0	0
POGZ	400	619	1748	1641	852	1756
SGCZ	0	0	0	0	0	0
MAP3K5	177	255	689	467	267	434
BC040901	13	5	44	24	29	29
CDC42EP1	1041	2543	5067	3080	1614	3727
ROBO2	1	0	3	0	0	3
ARR3	0	0	0	0	0	0
THUMPD3	267	380	995	567	355	583
AK090553	7	7	20	9	4	9
SLC26A4-AS1	0	0	0	0	0	0
PDHA2	0	0	0	0	0	0
ZNF598	404	932	1861	927	509	1046
TMOD2	5	11	29	33	24	28
XK	175	198	553	325	213	310
PPP1R14D	2	1	11	6	3	14
OR2A9P	0	12	0	4	0	0
SnR39B	0	0	0	0	0	0
TSTD2	79	153	393	310	110	231
MIR1909	0	0	0	0	0	0
AK094462	0	0	0	0	0	0
IGSF9	69	173	413	50	37	75
DDI1	0	0	0	0	0	0
DJ439526	0	0	0	0	0	0
NME8	0	0	0	0	0	0
CSGALNACT2	92	106	331	337	163	318
PTP4A3	68	128	293	169	72	206
ENTPD1	67	121	276	121	59	133
LINC00944	1	3	16	28	6	29
KCNMB1	0	0	0	0	0	2
BC039665	0	0	0	0	0	0
CCND1	2274	4007	9933	7235	3326	6653
LINC00341	0	4	8	9	2	17
DQ598884	0	0	0	0	0	0
AK027145	0	0	0	0	0	0
NLRC4	15	21	44	44	13	30
MAGEA4	0	0	0	0	0	0
DQ596753	0	0	0	0	0	0
AX746995	19	20	25	24	8	17
FW340097	0	0	0	2	0	0
EGFLAM	0	0	0	0	0	0
PHF10	279	502	1078	670	385	626
TONSL	513	1215	2456	454	236	520
EIF6	1764	4173	8565	4089	1758	4011
BTG3	369	559	1233	1026	702	1093
IL1RN	297	451	1108	901	384	927
IGF2	0	0	8	5	14	26
LOC728716	0	0	0	0	0	0
HMGN3	1092	1651	3180	1380	783	1231
BC104003	66	154	270	99	42	127
APCS	2	3	11	0	1	1
TAS2R10	0	0	3	2	2	0
LOC650368	20	23	82	31	14	36
PRR16	43	55	142	98	38	66
CCDC83	0	0	0	0	0	0
OR2W5	0	0	0	0	0	0
FN3K	66	128	261	89	57	90
RC3H2	84	81	361	216	93	247
TEX19	1	0	7	2	0	4
SEC23B	285	387	1053	491	219	461
C1orf168	0	0	0	7	11	14
CLIP4	995	1011	3083	3237	1550	2850
POTEA	0	0	0	0	0	0
AAED1	60	85	222	149	68	144
MIR1245B	0	0	0	0	0	0
VMO1	2	1	4	0	2	0
BC035187	5	5	16	10	4	18
DDX23	586	1137	2452	1041	513	993
IL5	0	0	0	0	0	1
PRMT7	187	434	901	290	131	392
RIN2	53	108	285	279	149	280
LOC731275	13	35	87	100	35	98
TIGD3	7	30	46	8	20	18
GNAI3	661	929	2461	1264	660	1081
AX746734	4	14	23	9	5	8
ELOVL6	323	521	1212	323	170	283
AK307150	1	1	17	12	1	7
DKFZp686N1631	3	7	10	5	4	1
RRPL13L	33	110	149	69	48	88
DQ597187	0	0	0	0	0	0
KRT16P2	2	7	14	9	0	5
BC067268	0	0	2	2	1	4
PDCL2	2	0	0	0	0	0
TRIM56	93	188	562	704	376	837
RNF182	12	12	43	28	21	25
DQ579377	0	0	0	0	0	0
PSMB8	812	1716	3573	4407	2129	4256
TPK1	42	69	187	140	89	162
LUZP6	1494	1692	5484	2993	1748	2645
FRAT2	107	175	275	107	45	133
NRAP	0	0	0	0	0	0
hADV29S1	0	0	0	0	0	0
OR7D4	0	0	0	0	0	0
CST11	0	0	0	0	0	0
OR2Z1	0	0	0	0	0	0
PIPSL	3	5	13	18	6	8
MAF1	1035	2400	4853	1690	949	2042
ZNF706	282	560	1051	557	305	581
KIAA0895L	120	268	461	199	124	207
PLIN2	1	2	9	3	2	4
LEMD1-AS1	0	1	5	8	6	0
TPTEP1	89	133	414	208	84	182
OR5D16	0	0	0	0	0	0
HOMER3	187	515	874	388	223	474
EZH2	340	584	1273	544	278	543
FOXD2-AS1	25	42	94	70	30	60
GPATCH3	62	130	274	115	46	131
S100G	0	0	0	0	0	0
LOC441242	9	16	58	26	11	19
LRRN4	25	42	181	37	16	46
SREK1IP1	188	225	552	480	276	430
MARCH8	40	65	197	101	48	111
H3F3A	4427	7387	16818	5165	3063	5297
RAP2C	197	223	635	584	335	462
USP20	76	157	391	232	98	251
LANCL1	392	470	1463	572	332	567
DQ589911	0	0	0	0	0	0
SH2B3	159	199	601	683	390	759
MIR101-1	0	0	0	0	0	0
ABI2	474	741	1834	746	498	791
PRKAG2	194	260	529	399	142	325
MIR3687	0	0	0	0	0	0
ENPP5	272	297	947	540	339	513
USP5	860	1913	4350	1192	553	1221
CDH8	0	0	0	0	0	0
SYT11	32	74	210	71	40	109
RAB17	195	465	952	372	213	411
FAM157B	0	2	3	0	5	2
MIR3914-1	0	0	0	0	0	0
LOC100996669	0	0	0	0	0	0
B3GNT2	255	306	959	717	441	687
HGS	773	1901	3878	1848	832	2014
OR56B4	0	0	0	0	0	1
AK092541	2	3	2	2	2	3
BC034444	0	0	0	1	0	0
RPAIN	191	380	715	499	276	542
NRIP1	397	355	1369	1454	840	1303
GDI1	879	1866	4112	2414	1093	2547
SLC10A7	67	77	229	199	116	149
MIR520E	0	0	0	0	0	0
C5orf20	0	0	0	0	0	0
D56494	0	0	0	0	0	0
RPS4Y2	0	0	0	0	0	0
SKIDA1	3	3	4	1	5	4
SNORD38	0	0	0	0	0	0
BPIFA4P	0	0	0	0	0	1
RABL2B	147	260	701	167	102	168
MYLK3	3	4	8	5	2	8
SMIM8	60	105	207	128	70	95
CRYGN	0	0	1	0	0	0
MIR4499	0	0	0	0	0	0
PES1	918	1977	4153	1482	662	1450
BEND5	0	1	9	0	0	3
DSEL	455	593	1808	230	154	226
ZFP14	28	44	82	48	26	47
GON4L	291	482	1284	898	475	939
L07266	0	0	0	0	0	0
WBP5	596	784	1573	1164	796	1068
RREB1	185	285	881	1025	566	1206
PLXDC2	1	4	0	2	0	4
SYCE3	1	1	0	2	3	5
FZD8	27	49	146	35	25	52
AK295707	0	0	0	0	0	0
TBC1D29	0	3	6	7	0	5
C3orf79	0	0	0	0	0	0
BC032874	0	0	0	0	0	0
AKAP12	728	976	2970	7912	3641	6476
CD3E	0	0	0	0	0	0
EFCAB2	44	71	176	61	45	67
TMEM92	82	138	313	219	117	313
RPLP0P2	36	51	56	51	27	60
DENND1B	134	124	379	392	223	355
OR2T35	0	0	0	0	0	0
ERICH1-AS1	0	0	0	0	0	0
HDAC8	262	377	821	349	193	328
WNK1	439	604	2298	1136	653	1099
LOC100506314	16	44	71	16	21	28
TC2N	391	406	1237	644	294	574
AK056351	28	110	147	87	30	114
AX746631	0	0	0	0	0	1
AK125598	0	14	9	8	16	8
ZNF124	42	42	128	74	51	70
DYRK4	100	210	341	197	71	207
IFNA2	0	0	0	0	0	0
CRY2	73	136	357	243	135	253
LTN1	157	132	534	504	241	382
GSDMC	6	14	23	15	5	20
LOC100128554	0	0	0	0	0	0
AK092619	0	0	0	2	1	0
HPCA	3	3	8	3	0	5
HMHA1	146	457	873	323	182	420
TYW5	89	134	405	369	184	362
MIR4478	0	0	0	0	0	0
CXorf51A	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
Mir_342	0	0	0	0	0	0
POGLUT1	38	64	170	75	29	58
TIMM21	283	522	1260	267	159	303
MIR218-1	0	0	0	0	0	0
LIAS	55	102	217	138	113	129
RAB37	0	4	6	4	8	6
HOXA5	42	64	145	64	34	110
DL074624	0	0	0	0	0	0
APH1A	2311	4889	11015	3867	2063	4342
DQ585295	0	0	0	0	0	0
SETD5-AS1	53	93	248	149	65	135
LOC100506599	7	15	54	24	6	22
GBA	678	1469	3204	833	418	882
IL9	0	0	0	0	0	0
RPUSD2	62	125	187	73	41	104
FAM117A	164	357	753	244	122	280
NMT1	1731	2874	7422	3701	1800	3668
TLR8-AS1	0	3	1	0	1	3
SNORA28	0	0	0	0	0	1
BC031952	1	0	1	0	0	3
LINC00359	0	0	0	0	0	0
TRAPPC13	193	306	716	494	290	406
UHMK1	1015	901	3563	1622	1073	1466
DQ578901	0	0	0	0	0	0
RNF112	5	7	10	16	9	18
MIR3136	0	0	0	0	0	0
SNORD116-15	0	0	0	0	0	0
SNUPN	170	301	756	325	163	362
MAGEC3	0	0	0	0	0	0
ASAH2B	1	13	51	44	15	36
LIPG	248	467	1237	666	416	693
MT1E	0	2	7	1	2	6
APBB1	46	69	131	69	49	77
ELN	14	24	54	12	5	13
NTN1	15	34	59	35	15	57
LGALS7	0	2	0	0	0	0
PI4KAP1	55	134	346	169	77	180
MAZ	1155	2544	5023	1490	954	1950
AK055890	0	0	0	0	0	0
GOLGA6L1	0	0	0	0	0	0
C9orf139	0	1	1	0	0	0
LOC729603	12	31	95	37	30	61
RP1L1	2	2	9	15	15	16
SNX33	233	374	997	577	298	595
RARB	189	232	686	302	182	310
DHRS3	940	2066	4037	3270	1739	3412
SUPV3L1	262	556	1150	477	360	533
Mir_384	0	0	0	0	0	0
LINC00462	3	14	25	35	21	23
CPA5	0	0	0	0	0	0
FBXO40	0	0	0	0	0	0
AX747287	0	0	0	0	0	0
AK124465	2	1	1	0	1	2
DQ584235	0	0	0	0	0	0
C6orf48	922	2074	4091	3341	1650	3335
DQ594571	0	0	0	0	0	0
HCLS1	1	4	5	3	1	5
JB153618	0	0	0	0	0	0
OCIAD2	1426	3024	5704	2384	1200	2376
XRN1	214	281	871	1829	1025	1618
ASIC2	0	0	0	0	0	0
DQ586768	0	0	0	0	0	0
LOC100272216	1	0	7	0	1	2
LRRC8B	277	399	1085	955	504	831
ADAM20	0	0	0	0	0	1
HIST2H3D	4	9	3	13	0	6
RELT	110	237	472	187	116	227
EGLN2	613	1409	3144	1170	604	1316
PRTG	25	37	184	133	73	131
TTC37	940	1031	3206	1985	955	1757
PPP4R1	708	1068	2627	1621	891	1556
SKOR2	0	0	0	0	0	0
BTN1A1	0	0	0	1	0	1
NKAIN3	0	0	3	1	0	0
KITLG	181	131	528	152	90	137
PAICS	1952	3080	7275	2409	1295	2318
ZNF77	13	59	107	86	35	56
LQFBS-1	75	247	26	46	82	0
BC043264	0	0	0	0	0	0
TAGLN3	0	0	2	0	0	3
FAM21C	195	390	995	415	262	391
MIR378D2	0	0	0	0	0	0
DQ585588	0	0	0	0	0	0
PCNA	1250	2133	4519	1517	732	1248
NCK1	466	637	1606	1764	972	1742
DQ586227	0	0	0	0	0	0
FLOT2	1330	2716	6305	2339	1197	2511
TNNI2	0	2	2	0	0	0
KPNA7	18	40	74	144	39	109
TRAF3	179	322	763	556	270	595
LOC100131691	27	47	103	66	21	82
BTBD17	0	0	0	0	2	0
CDR2L	485	957	2210	702	334	894
ZFP28	0	0	0	0	0	0
CPLX1	8	10	17	13	5	14
CATSPER3	2	4	6	4	2	2
PLK1	808	1761	3675	753	312	781
SCN5A	0	2	14	4	3	4
GUSBP11	82	144	399	145	72	185
BYSL	281	487	1147	548	265	573
BCKDK	494	1342	2524	942	594	1139
OR2V2	0	0	0	0	0	0
OR2H1	0	0	0	0	0	0
DTYMK	713	1683	2965	589	366	728
BC044946	1	0	2	0	0	0
BC118554	0	0	0	0	0	0
CCDC153	2	4	6	0	2	2
ODF3L2	0	0	0	0	0	0
TDRP	0	0	0	0	0	0
CNIH3	5	7	18	4	4	5
FLJ38723	0	0	2	3	3	0
RHOU	205	299	811	292	181	313
SND1	2133	4169	9550	3061	1533	3295
LTBP1	267	371	1067	566	257	554
DQ586584	0	0	0	0	0	0
NBPF6	0	0	0	0	0	0
ZNF691	97	161	310	233	109	220
C2orf43	99	143	388	168	70	159
CACNA2D4	5	2	3	6	0	7
GTSF1	646	1241	2603	1009	483	884
ZGPAT	287	806	1390	560	307	736
FAM81B	0	0	3	2	2	1
BC039561	1	0	5	2	0	0
MIR4646	0	0	0	0	0	0
NCF1C	0	0	0	0	0	0
MRPS9	288	622	1284	535	308	498
OR6X1	0	0	0	0	0	0
EPRS	1804	2434	6328	5274	2854	4528
AK126635	1	11	15	26	12	17
HIST1H4A	0	4	2	1	0	4
DKFZp686O16217	0	0	0	0	0	0
GNA15	70	161	349	194	100	247
ADD3	632	576	2256	1351	754	1159
DQ582448	0	0	0	0	0	0
GFM2	555	822	2083	1024	470	926
COG1	231	410	919	586	260	554
ASB18	0	0	0	0	2	3
ARL5A	264	232	657	256	207	229
TMEM181	602	780	2442	1313	795	1224
AX747416	0	0	0	1	0	0
ZNF397	91	114	386	275	145	243
ZZZ3	256	337	975	734	386	633
SCO2	199	379	752	384	196	544
MIR4540	0	0	0	0	0	0
FAM105A	117	165	359	152	73	132
SPIRE2	176	321	712	280	130	314
RGMB-AS1	6	8	16	48	11	41
PPP6R1	1284	2561	5738	2048	1068	2201
HMGB1	5384	8994	18577	6878	3765	6002
NOL12	119	260	516	120	89	142
THBD	0	3	7	10	9	12
FAM95C	27	73	117	70	46	54
EXOSC7	201	545	1096	506	225	484
NOP56	1225	2437	4589	1512	723	1380
DQ579174	0	0	0	0	0	0
HNRNPUL1	3428	6078	14877	6143	3179	6544
LOC100133315	5	5	26	3	4	7
SNHG7	157	356	618	221	159	272
SNORA67	0	2	0	0	0	2
