gene	logFC	p_val	pval_adj	cell
FILIP1L	0.26	2.68E-10	7.09E-06	Vascular Smooth Muscle
RBPMS	0.29	3.09E-10	8.19E-06	Vascular Smooth Muscle
EZR	0.26	3.95E-10	1.05E-05	Vascular Smooth Muscle
GYG1	0.32	4.11E-10	1.09E-05	Vascular Smooth Muscle
CHRD	0.26	5.21E-10	1.38E-05	Vascular Smooth Muscle
ISCU	0.26	6.64E-10	1.76E-05	Vascular Smooth Muscle
RPS27L	0.25	7.06E-10	1.87E-05	Vascular Smooth Muscle
NME4	0.3	8.81E-10	2.33E-05	Vascular Smooth Muscle
MPRIP	0.26	9.14E-10	2.42E-05	Vascular Smooth Muscle
COMMD6	0.29	9.39E-10	2.49E-05	Vascular Smooth Muscle
RCSD1	0.26	1.41E-09	3.73E-05	Vascular Smooth Muscle
CD36	0.43	1.80E-09	4.76E-05	Vascular Smooth Muscle
CCDC107	0.28	2.16E-09	5.73E-05	Vascular Smooth Muscle
PSME1	0.27	3.38E-09	8.95E-05	Vascular Smooth Muscle
ARPC4	0.3	3.53E-09	9.35E-05	Vascular Smooth Muscle
PCID2	0.27	3.77E-09	9.98E-05	Vascular Smooth Muscle
RPL36AL	0.25	3.98E-09	0.000105322	Vascular Smooth Muscle
EIF4B	0.32	4.02E-09	0.000106473	Vascular Smooth Muscle
EPDR1	0.28	5.25E-09	0.000139029	Vascular Smooth Muscle
MRPS6	0.32	5.64E-09	0.000149325	Vascular Smooth Muscle
ZAK	0.28	6.33E-09	0.000167756	Vascular Smooth Muscle
MYO1B	0.26	6.38E-09	0.000169094	Vascular Smooth Muscle
MOCS1	0.25	8.31E-09	0.00022002	Vascular Smooth Muscle
MYLIP	0.32	8.74E-09	0.000231579	Vascular Smooth Muscle
PDLIM5	0.27	1.64E-08	0.000433266	Vascular Smooth Muscle
CITED2	0.31	1.75E-08	0.000462352	Vascular Smooth Muscle
HSDL2	0.28	2.26E-08	0.00059878	Vascular Smooth Muscle
RSU1	0.26	2.43E-08	0.000643813	Vascular Smooth Muscle
C1orf123	0.26	2.44E-08	0.000645673	Vascular Smooth Muscle
RGS16	0.31	2.49E-08	0.000660793	Vascular Smooth Muscle
SNCG	0.4	4.35E-08	0.001151038	Vascular Smooth Muscle
AP3S1	0.26	4.40E-08	0.00116462	Vascular Smooth Muscle
CAMLG	0.28	5.11E-08	0.001352401	Vascular Smooth Muscle
BST2	0.28	5.15E-08	0.001363976	Vascular Smooth Muscle
GAS5	0.26	6.46E-08	0.001709971	Vascular Smooth Muscle
ZEB2	0.26	9.54E-08	0.002527771	Vascular Smooth Muscle
CETN2	0.26	1.28E-07	0.003384816	Vascular Smooth Muscle
HDAC1	0.27	1.32E-07	0.00348403	Vascular Smooth Muscle
EIF3L	0.25	1.33E-07	0.003520476	Vascular Smooth Muscle
PPP1R12B	0.27	1.49E-07	0.003946296	Vascular Smooth Muscle
PACSIN2	0.25	2.50E-07	0.006608824	Vascular Smooth Muscle
CSDE1	0.27	2.93E-07	0.007747732	Vascular Smooth Muscle
FABP5	0.29	4.24E-07	0.011217087	Vascular Smooth Muscle
IFITM1	0.3	6.35E-07	0.016807526	Vascular Smooth Muscle
EIF3H	0.26	7.32E-07	0.019397592	Vascular Smooth Muscle
ST6GALNAC6	0.27	9.98E-07	0.026424714	Vascular Smooth Muscle
TBX2-AS1	0.29	1.42E-06	0.03751836	Vascular Smooth Muscle
HTRA1	0.25	3.65E-06	0.096753367	Vascular Smooth Muscle
FABP4	0.28	4.10E-06	0.108657537	Vascular Smooth Muscle
DES	0.47	0.000346951	1	Vascular Smooth Muscle
APOLD1	1.08	4.74E-20	2.89E-15	Vascular Smooth Muscle_SS2
GJA4	1.06	1.06E-19	6.49E-15	Vascular Smooth Muscle_SS2
ACTA2	0.72	8.31E-19	5.07E-14	Vascular Smooth Muscle_SS2
TAGLN	0.6	9.47E-17	5.78E-12	Vascular Smooth Muscle_SS2
COX4I2	0.69	1.21E-16	7.35E-12	Vascular Smooth Muscle_SS2
SLC2A4	1.55	2.62E-16	1.60E-11	Vascular Smooth Muscle_SS2
ARHGDIB	1.24	9.40E-14	5.73E-09	Vascular Smooth Muscle_SS2
EGFL6	0.7	1.09E-13	6.62E-09	Vascular Smooth Muscle_SS2
NOTCH3	0.43	1.16E-13	7.08E-09	Vascular Smooth Muscle_SS2
HES4	1.04	2.67E-13	1.63E-08	Vascular Smooth Muscle_SS2
ESAM	0.84	5.03E-13	3.06E-08	Vascular Smooth Muscle_SS2
TINAGL1	0.77	8.44E-13	5.14E-08	Vascular Smooth Muscle_SS2
WFDC1	0.65	1.73E-12	1.06E-07	Vascular Smooth Muscle_SS2
MCAM	0.47	2.08E-12	1.27E-07	Vascular Smooth Muscle_SS2
KRT18	0.98	2.37E-12	1.45E-07	Vascular Smooth Muscle_SS2
ADAMTS4	0.65	5.22E-12	3.18E-07	Vascular Smooth Muscle_SS2
ACTG2	0.5	1.25E-11	7.64E-07	Vascular Smooth Muscle_SS2
CAV1	0.65	2.77E-11	1.69E-06	Vascular Smooth Muscle_SS2
ADGRF5	1.17	3.96E-11	2.41E-06	Vascular Smooth Muscle_SS2
PDGFRB	0.87	5.14E-11	3.13E-06	Vascular Smooth Muscle_SS2
PTMA	0.55	8.30E-11	5.06E-06	Vascular Smooth Muscle_SS2
PDGFA	0.95	8.51E-11	5.19E-06	Vascular Smooth Muscle_SS2
TPM2	0.4	1.37E-10	8.37E-06	Vascular Smooth Muscle_SS2
PARM1	0.8	1.45E-10	8.84E-06	Vascular Smooth Muscle_SS2
HEYL	0.94	2.68E-10	1.63E-05	Vascular Smooth Muscle_SS2
IGFBP7	0.61	3.57E-10	2.18E-05	Vascular Smooth Muscle_SS2
CNN1	0.54	8.42E-10	5.13E-05	Vascular Smooth Muscle_SS2
MYH9	0.46	1.23E-09	7.47E-05	Vascular Smooth Muscle_SS2
HIGD1B	0.86	2.13E-09	0.000129934	Vascular Smooth Muscle_SS2
TM4SF1	1.32	3.84E-09	0.000234161	Vascular Smooth Muscle_SS2
EPAS1	0.52	4.23E-09	0.000258066	Vascular Smooth Muscle_SS2
EFHD1	0.86	4.85E-09	0.000295834	Vascular Smooth Muscle_SS2
TPM1	0.42	5.12E-09	0.000311943	Vascular Smooth Muscle_SS2
CEBPD	0.58	6.40E-09	0.00038995	Vascular Smooth Muscle_SS2
SSTR2	3.23	6.41E-09	0.000390899	Vascular Smooth Muscle_SS2
RPS7	0.45	8.81E-09	0.000536928	Vascular Smooth Muscle_SS2
JUNB	0.42	1.19E-08	0.000723338	Vascular Smooth Muscle_SS2
RGS5	1.78	1.30E-08	0.00079487	Vascular Smooth Muscle_SS2
MTHFD2	0.77	1.33E-08	0.000813401	Vascular Smooth Muscle_SS2
MT1M	0.76	3.24E-08	0.001978344	Vascular Smooth Muscle_SS2
PTMAP2	0.65	3.50E-08	0.002131036	Vascular Smooth Muscle_SS2
ISYNA1	0.59	4.38E-08	0.002671967	Vascular Smooth Muscle_SS2
MT2A	0.62	5.21E-08	0.00317942	Vascular Smooth Muscle_SS2
EPS8	0.63	5.38E-08	0.00328195	Vascular Smooth Muscle_SS2
LGI4	0.92	5.57E-08	0.003396561	Vascular Smooth Muscle_SS2
PTP4A31	1.29	6.61E-08	0.004029932	Vascular Smooth Muscle_SS2
C2orf40	0.54	1.24E-07	0.007561637	Vascular Smooth Muscle_SS2
FST	0.66	1.24E-07	0.007584358	Vascular Smooth Muscle_SS2
ITGA7	1.34	1.25E-07	0.007650035	Vascular Smooth Muscle_SS2
MT1L	1.51	1.43E-07	0.008710482	Vascular Smooth Muscle_SS2
IFITM2	0.72	1.50E-07	0.009158122	Vascular Smooth Muscle_SS2
EGR1	0.49	1.85E-07	0.011307025	Vascular Smooth Muscle_SS2
CFL1	0.43	2.37E-07	0.014463159	Vascular Smooth Muscle_SS2
MYL6	0.31	3.58E-07	0.021826329	Vascular Smooth Muscle_SS2
MT1E	1.05	3.91E-07	0.023813741	Vascular Smooth Muscle_SS2
NDUFA4L2	0.32	4.33E-07	0.026415626	Vascular Smooth Muscle_SS2
PFN1	0.42	4.65E-07	0.028368099	Vascular Smooth Muscle_SS2
LPP	0.48	4.79E-07	0.029192581	Vascular Smooth Muscle_SS2
MRPL32	1	5.23E-07	0.031892176	Vascular Smooth Muscle_SS2
ATP5MC2	0.64	5.77E-07	0.035187265	Vascular Smooth Muscle_SS2
H2AFJ	0.75	6.97E-07	0.042472906	Vascular Smooth Muscle_SS2
PPIA	0.48	7.73E-07	0.047100125	Vascular Smooth Muscle_SS2
ASPN	2.09	4.50E-170	1.19E-165	Myofibroblast
CLU	2.29	1.03E-138	2.72E-134	Myofibroblast
CFH	1.43	7.72E-118	2.04E-113	Myofibroblast
WIF1	1.68	4.46E-102	1.18E-97	Myofibroblast
SCARA3	1.26	1.27E-99	3.36E-95	Myofibroblast
VIM	0.74	1.34E-82	3.55E-78	Myofibroblast
DPT	1.39	7.61E-77	2.02E-72	Myofibroblast
TGFBI	1.2	3.11E-69	8.24E-65	Myofibroblast
TSPAN8	1.13	3.70E-68	9.81E-64	Myofibroblast
LTBP1	0.95	2.81E-66	7.44E-62	Myofibroblast
CD9	0.95	1.32E-64	3.50E-60	Myofibroblast
RPS2	0.64	1.19E-63	3.15E-59	Myofibroblast
BCHE	1.1	2.57E-59	6.81E-55	Myofibroblast
TNC	1	5.85E-59	1.55E-54	Myofibroblast
LTBP2	0.92	7.18E-57	1.90E-52	Myofibroblast
PAMR1	0.94	2.79E-56	7.38E-52	Myofibroblast
POSTN	1.5	6.08E-55	1.61E-50	Myofibroblast
FGF18	0.91	2.89E-53	7.66E-49	Myofibroblast
LINC00632	0.83	8.49E-52	2.25E-47	Myofibroblast
RPL12	0.55	1.01E-47	2.69E-43	Myofibroblast
PCSK1N	0.93	2.12E-47	5.61E-43	Myofibroblast
RARRES1	1.05	7.17E-47	1.90E-42	Myofibroblast
ANGPTL2	0.91	1.32E-46	3.49E-42	Myofibroblast
RPS18	0.5	4.17E-46	1.10E-41	Myofibroblast
RPL13	0.46	1.24E-43	3.29E-39	Myofibroblast
RPS3	0.48	4.61E-42	1.22E-37	Myofibroblast
ANGPTL6	0.5	6.03E-42	1.60E-37	Myofibroblast
RPS4X	0.49	2.14E-41	5.67E-37	Myofibroblast
COL3A1	1.12	2.97E-41	7.86E-37	Myofibroblast
ATP1B1	0.89	5.37E-41	1.42E-36	Myofibroblast
ITGBL1	0.81	2.99E-40	7.91E-36	Myofibroblast
RPS12	0.47	1.62E-39	4.28E-35	Myofibroblast
RPL10	0.38	1.50E-38	3.98E-34	Myofibroblast
VCAN	0.87	2.69E-38	7.12E-34	Myofibroblast
TYRP1	0.68	1.67E-37	4.41E-33	Myofibroblast
TNFRSF19	0.68	4.57E-36	1.21E-31	Myofibroblast
MT1X	1.12	1.45E-35	3.84E-31	Myofibroblast
LXN	0.77	1.46E-35	3.86E-31	Myofibroblast
GNB2L1	0.46	5.09E-35	1.35E-30	Myofibroblast
TGFBR3	0.71	1.22E-34	3.24E-30	Myofibroblast
ROBO1	0.51	6.02E-33	1.59E-28	Myofibroblast
RPL11	0.4	1.92E-32	5.07E-28	Myofibroblast
RPL18A	0.39	2.14E-32	5.66E-28	Myofibroblast
S100A13	0.64	8.01E-32	2.12E-27	Myofibroblast
RPS9	0.4	9.66E-32	2.56E-27	Myofibroblast
RPS6	0.39	1.76E-31	4.67E-27	Myofibroblast
RPL8	0.41	1.78E-31	4.72E-27	Myofibroblast
RPL26	0.41	6.64E-31	1.76E-26	Myofibroblast
RPL29	0.41	1.15E-30	3.06E-26	Myofibroblast
PRELP	0.71	1.27E-30	3.37E-26	Myofibroblast
DKK3	0.6	1.38E-30	3.66E-26	Myofibroblast
S100A10	0.57	1.42E-30	3.76E-26	Myofibroblast
HS3ST3A1	0.44	9.65E-30	2.56E-25	Myofibroblast
SLITRK6	0.6	3.50E-29	9.27E-25	Myofibroblast
LGALS3	0.52	1.55E-28	4.11E-24	Myofibroblast
VCAM1	0.54	1.66E-28	4.39E-24	Myofibroblast
RPL13A	0.36	1.95E-28	5.17E-24	Myofibroblast
TMEM100	0.66	4.14E-28	1.10E-23	Myofibroblast
CYSLTR1	0.45	6.48E-28	1.72E-23	Myofibroblast
ALDH2	0.6	2.00E-27	5.31E-23	Myofibroblast
PSTPIP1	0.44	2.54E-27	6.73E-23	Myofibroblast
RPL30	0.36	3.40E-27	9.01E-23	Myofibroblast
COMP	0.91	1.59E-26	4.21E-22	Myofibroblast
MUC12	0.45	3.50E-26	9.28E-22	Myofibroblast
RPL32	0.34	7.90E-26	2.09E-21	Myofibroblast
ARRDC3	0.6	8.26E-26	2.19E-21	Myofibroblast
LUZP2	0.37	1.22E-25	3.22E-21	Myofibroblast
RPS15A	0.35	1.95E-25	5.15E-21	Myofibroblast
MDFI	0.4	2.98E-25	7.88E-21	Myofibroblast
EEF1G	0.39	3.91E-25	1.03E-20	Myofibroblast
RPL28	0.37	4.92E-25	1.30E-20	Myofibroblast
SSC5D	0.47	5.50E-25	1.46E-20	Myofibroblast
RPS24	0.37	1.10E-24	2.92E-20	Myofibroblast
RPL19	0.34	1.37E-24	3.64E-20	Myofibroblast
RPL10A	0.35	2.33E-24	6.18E-20	Myofibroblast
LINC01436	0.39	2.66E-24	7.05E-20	Myofibroblast
RPS8	0.34	3.96E-24	1.05E-19	Myofibroblast
EEF1A1	0.33	7.36E-24	1.95E-19	Myofibroblast
CNN3	0.46	1.75E-23	4.63E-19	Myofibroblast
RPL18	0.35	4.66E-23	1.23E-18	Myofibroblast
RPL7A	0.34	5.18E-23	1.37E-18	Myofibroblast
FN1	0.41	5.61E-23	1.49E-18	Myofibroblast
SFTA1P	0.58	6.36E-23	1.68E-18	Myofibroblast
TMEM98	0.55	1.09E-22	2.88E-18	Myofibroblast
F2R	0.58	3.57E-22	9.46E-18	Myofibroblast
TSHZ2	0.56	3.91E-22	1.04E-17	Myofibroblast
PDGFC	0.37	1.20E-21	3.19E-17	Myofibroblast
RPS27A	0.31	1.42E-21	3.76E-17	Myofibroblast
ROBO2	0.55	1.83E-21	4.84E-17	Myofibroblast
RPSA	0.4	2.04E-21	5.39E-17	Myofibroblast
GREM2	0.39	2.28E-21	6.03E-17	Myofibroblast
DIRAS3	0.67	3.37E-21	8.92E-17	Myofibroblast
RPS3A	0.32	5.45E-21	1.44E-16	Myofibroblast
WDR91	0.45	6.24E-21	1.65E-16	Myofibroblast
RPS15	0.3	8.78E-21	2.33E-16	Myofibroblast
CCDC146	0.43	9.39E-21	2.49E-16	Myofibroblast
RPL23A	0.31	1.07E-20	2.84E-16	Myofibroblast
RPL3	0.3	1.42E-20	3.76E-16	Myofibroblast
FXYD5	0.59	3.01E-20	7.97E-16	Myofibroblast
ENC1	0.42	3.56E-20	9.43E-16	Myofibroblast
CTHRC1	0.85	4.27E-20	1.13E-15	Myofibroblast
RPL7	0.31	4.51E-20	1.20E-15	Myofibroblast
NACA	0.34	5.80E-20	1.54E-15	Myofibroblast
NTM	0.45	6.46E-20	1.71E-15	Myofibroblast
LRRC75A-AS1	0.42	7.13E-20	1.89E-15	Myofibroblast
FXYD6	0.52	9.57E-20	2.53E-15	Myofibroblast
COL1A1	0.81	1.10E-19	2.90E-15	Myofibroblast
RPS5	0.33	1.96E-19	5.20E-15	Myofibroblast
TGFB1	0.51	2.90E-19	7.67E-15	Myofibroblast
RPLP1	0.27	4.19E-19	1.11E-14	Myofibroblast
NPC2	0.46	6.70E-19	1.78E-14	Myofibroblast
GAS5	0.44	9.95E-19	2.63E-14	Myofibroblast
RPS19	0.3	1.05E-18	2.78E-14	Myofibroblast
COL12A1	0.52	1.19E-18	3.15E-14	Myofibroblast
GALNT18	0.41	1.21E-18	3.20E-14	Myofibroblast
FHL1	0.44	1.57E-18	4.16E-14	Myofibroblast
EEF1D	0.36	2.68E-18	7.09E-14	Myofibroblast
THBD	0.52	3.60E-18	9.52E-14	Myofibroblast
COL16A1	0.5	5.41E-18	1.43E-13	Myofibroblast
TPD52L1	0.46	5.98E-18	1.58E-13	Myofibroblast
FGF14	0.37	6.96E-18	1.84E-13	Myofibroblast
RPL5	0.32	7.10E-18	1.88E-13	Myofibroblast
SYNDIG1	0.27	1.05E-17	2.79E-13	Myofibroblast
MAMDC2	0.37	1.10E-17	2.91E-13	Myofibroblast
RPS11	0.32	1.16E-17	3.06E-13	Myofibroblast
MMP2	0.44	1.16E-17	3.09E-13	Myofibroblast
MGP	0.58	2.69E-17	7.12E-13	Myofibroblast
CXCL14	0.73	3.24E-17	8.59E-13	Myofibroblast
MXRA5	0.39	3.41E-17	9.03E-13	Myofibroblast
RPS23	0.27	4.81E-17	1.27E-12	Myofibroblast
CIRBP	0.35	5.39E-17	1.43E-12	Myofibroblast
RPL4	0.35	6.69E-17	1.77E-12	Myofibroblast
CLEC11A	0.46	1.08E-16	2.86E-12	Myofibroblast
NOTUM	0.3	1.82E-16	4.82E-12	Myofibroblast
RPL41	0.26	1.89E-16	5.01E-12	Myofibroblast
RPS17	0.29	2.01E-16	5.31E-12	Myofibroblast
GEM	0.6	2.09E-16	5.54E-12	Myofibroblast
NNMT	0.35	2.10E-16	5.56E-12	Myofibroblast
USP18	0.33	3.84E-16	1.02E-11	Myofibroblast
NAP1L1	0.4	4.28E-16	1.13E-11	Myofibroblast
RPL36	0.3	4.90E-16	1.30E-11	Myofibroblast
KCTD12	0.41	9.50E-16	2.52E-11	Myofibroblast
RPLP0	0.33	1.48E-15	3.92E-11	Myofibroblast
DANCR	0.46	1.49E-15	3.94E-11	Myofibroblast
RPL15	0.27	1.69E-15	4.47E-11	Myofibroblast
HSBP1	0.41	1.84E-15	4.87E-11	Myofibroblast
RPL6	0.28	3.77E-15	1.00E-10	Myofibroblast
CTGF	0.34	6.60E-15	1.75E-10	Myofibroblast
RPS13	0.26	6.68E-15	1.77E-10	Myofibroblast
GABARAPL2	0.34	1.33E-14	3.52E-10	Myofibroblast
HOXB6	0.41	1.45E-14	3.83E-10	Myofibroblast
C2CD2	0.28	2.20E-14	5.83E-10	Myofibroblast
CCDC68	0.42	2.32E-14	6.15E-10	Myofibroblast
RAB34	0.38	2.59E-14	6.86E-10	Myofibroblast
ANGPTL1	0.43	3.48E-14	9.21E-10	Myofibroblast
AREG	1.11	4.54E-14	1.20E-09	Myofibroblast
UBA52	0.28	5.00E-14	1.33E-09	Myofibroblast
LAMP5	0.26	5.27E-14	1.40E-09	Myofibroblast
ARHGDIB	0.26	5.96E-14	1.58E-09	Myofibroblast
HLA-A	0.33	6.74E-14	1.79E-09	Myofibroblast
TSC22D1	0.43	8.95E-14	2.37E-09	Myofibroblast
EEF2	0.32	1.37E-13	3.63E-09	Myofibroblast
NFIB	0.41	1.67E-13	4.42E-09	Myofibroblast
ISM1	0.33	1.67E-13	4.43E-09	Myofibroblast
STXBP6	0.3	1.74E-13	4.60E-09	Myofibroblast
CCNI	0.35	1.80E-13	4.78E-09	Myofibroblast
HOXB5	0.43	2.64E-13	6.99E-09	Myofibroblast
RPL24	0.26	4.28E-13	1.13E-08	Myofibroblast
PTCH1	0.38	4.46E-13	1.18E-08	Myofibroblast
C1QTNF7	0.39	1.01E-12	2.68E-08	Myofibroblast
BGN	0.3	1.10E-12	2.92E-08	Myofibroblast
C6orf48	0.37	1.19E-12	3.14E-08	Myofibroblast
COL1A2	0.49	2.56E-12	6.78E-08	Myofibroblast
PBX3	0.29	2.58E-12	6.82E-08	Myofibroblast
CTSK	0.33	3.36E-12	8.89E-08	Myofibroblast
FOXP1	0.41	3.55E-12	9.40E-08	Myofibroblast
CREB5	0.41	3.85E-12	1.02E-07	Myofibroblast
WNT5A	0.31	3.95E-12	1.05E-07	Myofibroblast
ADGRG6	0.28	7.09E-12	1.88E-07	Myofibroblast
TCF12	0.35	7.75E-12	2.05E-07	Myofibroblast
EEF1B2	0.36	8.05E-12	2.13E-07	Myofibroblast
HOXB-AS3	0.34	9.22E-12	2.44E-07	Myofibroblast
LHFPL2	0.31	9.70E-12	2.57E-07	Myofibroblast
TAGLN2	0.33	1.11E-11	2.93E-07	Myofibroblast
EXPH5	0.28	1.31E-11	3.46E-07	Myofibroblast
C16orf89	0.4	1.43E-11	3.80E-07	Myofibroblast
ATP5G2	0.29	2.00E-11	5.29E-07	Myofibroblast
ENPP2	0.36	3.02E-11	8.01E-07	Myofibroblast
PLSCR4	0.39	3.03E-11	8.03E-07	Myofibroblast
MFAP2	0.39	4.44E-11	1.18E-06	Myofibroblast
EMP3	0.29	4.81E-11	1.27E-06	Myofibroblast
PAM	0.37	5.22E-11	1.38E-06	Myofibroblast
MICAL2	0.33	5.29E-11	1.40E-06	Myofibroblast
MATN2	0.38	5.85E-11	1.55E-06	Myofibroblast
SPON2	0.53	7.38E-11	1.95E-06	Myofibroblast
PTGER2	0.34	1.08E-10	2.86E-06	Myofibroblast
DUSP10	0.29	1.09E-10	2.88E-06	Myofibroblast
C9orf16	0.35	1.38E-10	3.64E-06	Myofibroblast
ZFP36L2	0.28	1.45E-10	3.85E-06	Myofibroblast
ST3GAL4	0.38	1.91E-10	5.05E-06	Myofibroblast
HLA-B	0.27	2.07E-10	5.48E-06	Myofibroblast
PRPS2	0.31	2.31E-10	6.12E-06	Myofibroblast
FILIP1L	0.37	3.26E-10	8.63E-06	Myofibroblast
RCN3	0.34	3.28E-10	8.68E-06	Myofibroblast
GOLIM4	0.4	3.68E-10	9.75E-06	Myofibroblast
TBX3	0.25	6.76E-10	1.79E-05	Myofibroblast
CD34	0.35	8.44E-10	2.24E-05	Myofibroblast
PPP2R4	0.31	9.77E-10	2.59E-05	Myofibroblast
NFIC	0.35	1.01E-09	2.67E-05	Myofibroblast
LDLRAD4	0.28	1.04E-09	2.76E-05	Myofibroblast
COL8A1	0.46	1.15E-09	3.04E-05	Myofibroblast
CD200	0.29	1.47E-09	3.90E-05	Myofibroblast
ALCAM	0.3	1.62E-09	4.29E-05	Myofibroblast
COX4I1	0.26	2.29E-09	6.07E-05	Myofibroblast
CTSZ	0.36	2.29E-09	6.07E-05	Myofibroblast
THY1	0.36	2.33E-09	6.18E-05	Myofibroblast
PDGFRA	0.33	2.73E-09	7.24E-05	Myofibroblast
ARL6IP5	0.27	3.71E-09	9.84E-05	Myofibroblast
CD82	0.38	4.45E-09	0.000117798	Myofibroblast
EIF3G	0.29	5.38E-09	0.00014259	Myofibroblast
PDLIM4	0.32	6.89E-09	0.000182376	Myofibroblast
SNX9	0.3	1.01E-08	0.000267605	Myofibroblast
USF2	0.29	1.32E-08	0.000349394	Myofibroblast
CADM3	0.32	1.84E-08	0.00048792	Myofibroblast
PAPPA	0.34	2.14E-08	0.000565493	Myofibroblast
RCN2	0.33	2.43E-08	0.000644597	Myofibroblast
PDLIM3	0.25	2.53E-08	0.000670555	Myofibroblast
MYL6B	0.28	2.57E-08	0.000681799	Myofibroblast
GLTSCR2	0.27	2.77E-08	0.000733917	Myofibroblast
PTGER1	0.28	3.37E-08	0.000893179	Myofibroblast
STARD10	0.26	4.17E-08	0.001105001	Myofibroblast
NEDD9	0.29	4.61E-08	0.00122042	Myofibroblast
JAM2	0.27	5.12E-08	0.001356964	Myofibroblast
FLRT2	0.25	5.51E-08	0.001460428	Myofibroblast
COTL1	0.26	5.81E-08	0.001539188	Myofibroblast
RARRES3	0.33	5.92E-08	0.001568486	Myofibroblast
PHLDA3	0.35	6.45E-08	0.001707731	Myofibroblast
IMPDH2	0.31	6.77E-08	0.001791916	Myofibroblast
LAYN	0.29	7.43E-08	0.001968035	Myofibroblast
FKBP10	0.28	8.02E-08	0.002123461	Myofibroblast
FAM213A	0.27	8.09E-08	0.002142197	Myofibroblast
RERG	0.32	8.78E-08	0.002326482	Myofibroblast
PKIG	0.27	1.03E-07	0.002732225	Myofibroblast
FIBP	0.25	1.05E-07	0.002779129	Myofibroblast
IGF1	0.38	1.06E-07	0.002804566	Myofibroblast
SNHG8	0.32	1.12E-07	0.002955122	Myofibroblast
PRDM6	0.29	1.31E-07	0.003472271	Myofibroblast
BASP1	0.26	1.39E-07	0.003687373	Myofibroblast
DAP	0.26	1.78E-07	0.004709551	Myofibroblast
NET1	0.27	1.87E-07	0.00495064	Myofibroblast
HLF	0.3	2.15E-07	0.005695819	Myofibroblast
LTBP3	0.31	2.16E-07	0.005724839	Myofibroblast
ELOVL1	0.27	2.56E-07	0.006774603	Myofibroblast
COL15A1	0.27	3.42E-07	0.009047856	Myofibroblast
MDK	0.36	4.29E-07	0.011352901	Myofibroblast
COL5A1	0.3	6.55E-07	0.017351403	Myofibroblast
PLS3	0.3	9.82E-07	0.026002209	Myofibroblast
COL5A2	0.3	1.16E-06	0.030640142	Myofibroblast
HSD11B1	0.38	1.23E-06	0.03255309	Myofibroblast
CMTM3	0.29	1.33E-06	0.035246045	Myofibroblast
CXCL16	0.25	1.56E-06	0.041312968	Myofibroblast
GNG12	0.28	1.62E-06	0.042824541	Myofibroblast
SSPN	0.28	1.93E-06	0.051095623	Myofibroblast
HMGN1	0.32	1.98E-06	0.052372923	Myofibroblast
LOXL1	0.32	2.04E-06	0.054133996	Myofibroblast
PRNP	0.34	2.27E-06	0.060078616	Myofibroblast
NGFRAP1	0.26	2.30E-06	0.061001708	Myofibroblast
SEMA3C	0.28	3.08E-06	0.081646601	Myofibroblast
PHLDB1	0.27	3.62E-06	0.095898092	Myofibroblast
PID1	0.27	4.58E-06	0.121239147	Myofibroblast
ID2	0.32	5.04E-06	0.133499693	Myofibroblast
EPDR1	0.27	5.69E-06	0.150639326	Myofibroblast
HNRNPR	0.26	6.03E-06	0.159780939	Myofibroblast
MXRA8	0.25	6.08E-06	0.161138579	Myofibroblast
GDI2	0.26	6.95E-06	0.183966725	Myofibroblast
UACA	0.25	7.71E-06	0.204120416	Myofibroblast
EIF3F	0.25	8.82E-06	0.233671153	Myofibroblast
ARL4A	0.29	1.07E-05	0.283136064	Myofibroblast
CTSB	0.28	1.21E-05	0.321733577	Myofibroblast
RAB32	0.27	2.82E-05	0.747387781	Myofibroblast
HTRA1	0.26	4.04E-05	1	Myofibroblast
FKBP7	0.26	4.04E-05	1	Myofibroblast
IER3	0.55	6.02E-05	1	Myofibroblast
NME1	0.25	6.19E-05	1	Myofibroblast
FHL2	0.27	6.94E-05	1	Myofibroblast
CALCOCO2	0.25	0.000209279	1	Myofibroblast
MPDU1	0.25	0.000376762	1	Myofibroblast
OSBPL9	0.26	0.000632065	1	Myofibroblast
SERPINE1	0.31	0.000748533	1	Myofibroblast
COL6A3	0.29	0.013338165	1	Myofibroblast
BCHE	1.92	6.61E-87	1.75E-82	Fibromyocyte
CLU	2.1	3.97E-82	1.05E-77	Fibromyocyte
SCX	1.5	4.67E-73	1.24E-68	Fibromyocyte
CKB	1.55	1.55E-67	4.10E-63	Fibromyocyte
GREM2	1.29	9.03E-66	2.39E-61	Fibromyocyte
SCARA3	1.35	1.85E-63	4.90E-59	Fibromyocyte
WIF1	1.8	6.96E-60	1.84E-55	Fibromyocyte
MYLK	1.39	2.95E-59	7.81E-55	Fibromyocyte
CD9	1.3	9.59E-59	2.54E-54	Fibromyocyte
RAMP1	1.51	3.17E-57	8.38E-53	Fibromyocyte
FGF18	1.41	4.23E-48	1.12E-43	Fibromyocyte
SBSPON	1.17	2.54E-47	6.72E-43	Fibromyocyte
ACTG2	1.71	3.17E-42	8.41E-38	Fibromyocyte
LGR6	0.84	4.16E-42	1.10E-37	Fibromyocyte
CNN1	1.39	1.37E-39	3.62E-35	Fibromyocyte
SYNPO2	1.16	2.61E-38	6.92E-34	Fibromyocyte
KCNMB1	1.06	7.75E-38	2.05E-33	Fibromyocyte
TYRP1	0.86	8.93E-37	2.36E-32	Fibromyocyte
